"   ","MANU_ID","STACKING_REC_NUM","PICK_NUM","ORDER_NUM","COMPANY_CODE","READY_NUM","TRNP_MODE_CODE","CARRY_COMPANY_CODE","CARRY_COMPANY_NAME","N_STACKING_REC","WEIGHT_STRC","PRODUCT_DSCR","SHOPSIGN","DOMESTIC_EXPORT","STOREHOUSE_CODE","LADE_CODE","DLV_SPOT_CODE","PRIVATE_ROUTE_CODE","DLV_SPOT_NAME","CONSIGNEE_NUM","CONSIGNEE_NAME","SETTLE_USER_NUM","SETTLE_USER_NAME","QLT_DECIDE_CODE","VEHICLE_CODE","N_GRASS_PACK","DELIVERY_DATE_CHR","T_DELIVERY","DEPT","USER_ID","OPERATOR_NAME","PRODUCT_CODE_FB1","PRODUCT_CODE_FB2","PRODUCT_CODE_FB3","EXPENSE_STATUS","WEIGHT_THEO","WEIGHT_TYPE","STACKING_TYPE","CODE_ALL_THR_READY","STIN_STHS_CODE","TIME_RECEIVE","TIME_PROC","PROC_MARK","ERROR_TEXT1","ERROR_TEXT2","STACKING_PRINT_BATCH_ID","WS_FLAG","WS_DATE","SEG_NO","PROC_MARK_SEG","PRODUCT_ID","WPROVIDER_ID","INSERT_TIME","DOWNLOADFLAG","OPTFLAG","PRODUCT_ADRESS","SHOPSGIN","OWNER_NUM","DEPTID","TRANS_COMMISSION_SUBID","PAY_STYLE","GETFLAG","SETTLE_FLAG","SOURCE_SEG_NO","OPERATION_TYPE","R_JK_UPDATE_DATE"
"1","BGNA","F013029997","3F01306280101","I3E0011898","MN","H123008618","23","","","1","17890","直发卷","SA414M GR.G","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30627007&@梅盛2188","1","20130628","0924","01","","607496","","","","","0","0","","BGTM0I3062800","","2013/6/28 10:36:30","2013/6/28 10:17:47","0","2.75*1130*C","C","","0","","00100","","TI15130503005","","2013/6/28 10:36:30","0","0","梅钢公司热轧厂","","GM0","0101","TC13070100280004","20","","","","",""
"2","BGNA","F013030002","3F01306280101","I3E0011987","MN","H123008646","23","","","1","17840","直发卷","SA414M GR.G","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30627007&@梅盛2188","1","20130628","0924","01","","607496","","","","","0","0","","BGTM0I3062800","","2013/6/28 10:36:31","2013/6/28 10:17:47","0","3*1100*C","C","","0","","00100","","TI15130503049","","2013/6/28 10:36:31","0","0","梅钢公司热轧厂","","GM0","0101","TC13070100256003","20","","","","",""
"3","BGNA","F013029644","3F01306260401","I3E0011898","MN","H113006525","23","","","1","17710","直发卷","SA414M GR.G","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30626002&@梅盛1588","1","20130627","0603","01","","607014","","","","","0","0","","","","2013/6/27 6:36:25","2013/6/27 6:16:35","0","2.75*1130*C","C","","0","","00100","","TI15130503005","","2013/6/27 6:36:25","0","0","梅钢公司热轧厂","","GM0","0101","TC13070100280003","20","","","","",""
"4","BGNA","F013029645","3F01306260401","I3E0011987","MN","H113006526","23","","","1","17800","直发卷","SA414M GR.G","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30626002&@梅盛1588","1","20130627","0603","01","","607014","","","","","0","0","","","","2013/6/27 6:36:26","2013/6/27 6:16:35","0","3*1100*C","C","","0","","00100","","TI15130503049","","2013/6/27 6:36:26","0","0","梅钢公司热轧厂","","GM0","0101","TC13070100256002","20","","","","",""
"5","BGNA","F013029651","3F01306260401","I3E0011898","MN","H123008504","23","","","1","17530","直发卷","SA414M GR.G","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30626002&@梅盛1588","1","20130627","0603","01","","607014","","","","","0","0","","","","2013/6/27 6:36:26","2013/6/27 6:16:35","0","2.75*1130*C","C","","0","","00100","","TI15130503005","","2013/6/27 6:36:26","0","0","梅钢公司热轧厂","","GM0","0101","TC13070100280003","20","","","","",""
"6","BGNA","F013029652","3F01306260401","I3E0011987","MN","H123008505","23","","","2","35420","直发卷","SA414M GR.G","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30626002&@梅盛1588","1","20130627","0603","01","","607014","","","","","0","0","","","","2013/6/27 6:36:27","2013/6/27 6:16:35","0","3*1100*C","C","","0","","00100","","TI15130503049","","2013/6/27 6:36:27","0","0","梅钢公司热轧厂","","GM0","0101","TC13070100256002","20","","","","",""
"7","BGNA","F013029653","3F01306260401","I3E0011898","MN","H123008516","23","","","1","17660","直发卷","SA414M GR.G","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30626002&@梅盛1588","1","20130627","0603","01","","607014","","","","","0","0","","","","2013/6/27 6:36:27","2013/6/27 6:16:35","0","2.75*1130*C","C","","0","","00100","","TI15130503005","","2013/6/27 6:36:27","0","0","梅钢公司热轧厂","","GM0","0101","TC13070100280003","20","","","","",""
"8","BGNA","F013031065","3F01307050401","I3E0012675","MN","R133014723","23","","","1","24590","直发卷","SA414M GR.G","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30705003&@梅盛2088","1","20130705","2253","01","","607013","","","","","0","0","","","","2013/7/5 23:37:23","2013/7/5 23:16:50","0","2.75*1380*C","C","","0","","00100","","TI15130600724","","2013/7/5 23:37:23","0","0","梅钢公司热轧厂","","GM0","0101","TC13071000186001","10","","","","",""
"9","BGNA","F013031066","3F01307050401","I3E0012676","MN","R133014758","23","","","1","19360","直发卷","SA414M GR.G","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30705003&@梅盛2088","1","20130705","2253","01","","607013","","","","","0","0","","","","2013/7/5 23:37:23","2013/7/5 23:16:50","0","2.75*1130*C","C","","0","","00100","","TI15130600742","","2013/7/5 23:37:23","0","0","梅钢公司热轧厂","","GM0","0101","TC13071000186002","10","","","","",""
"10","BGNA","F093009822","3F09307060501","I3E0012675","MN","R133014819","23","","","1","24590","直发卷","SA414M GR.G","","F09","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30706009&@梅盛2266","1","20130707","0651","01","","607014","","","","","0","0","","","","2013/7/7 7:36:49","2013/7/7 7:16:45","0","2.75*1380*C","C","","0","","00100","","TI15130600724","","2013/7/7 7:36:49","0","0","梅钢公司热轧厂","","GM0","0101","TC13071100095003","10","","","","",""
"11","BGNA","F093009823","3F09307060501","I3E0012675","MN","R133014820","23","","","2","49460","直发卷","SA414M GR.G","","F09","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30706009&@梅盛2266","1","20130707","0651","01","","607014","","","","","0","0","","","","2013/7/7 7:36:49","2013/7/7 7:16:45","0","2.75*1380*C","C","","0","","00100","","TI15130600724","","2013/7/7 7:36:49","0","0","梅钢公司热轧厂","","GM0","0101","TC13071100095003","10","","","","",""
"12","BGNA","F093009913","3F09307080301","I3E0012677","MN","R133014936","23","","","2","40540","直发卷","SA414M GR.G","","F09","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30708003&@梅盛1969","1","20130708","1804","01","","607013","","","","","0","0","","","","2013/7/8 18:36:47","2013/7/8 18:16:52","0","3.2*1300*C","C","","0","","00100","","TI15130600743","","2013/7/8 18:36:47","0","0","梅钢公司热轧厂","","GM0","0101","TC13071200218004","10","","","","",""
