"   ","DEPTID","TYPE","NUM","WEIGHT","BILLDATE","KIND","BILLNO"
"1","0101","1","1.000000","14.350000","2015/6/27 14:22:15","热轧卷","RK1506270097"
"2","0101","1","1.000000","14.360000","2015/6/27 14:22:46","热轧卷","RK1506270098"
"3","0101","3","1.000000","14.290000","2015/6/27 14:23:08","热轧卷","RK1506270099"
"4","0101","1","1.000000","14.270000","2015/6/27 14:23:28","热轧卷","RK1506270100"
"5","0101","1","1.000000","19.028000","2015/6/27 14:25:21","热轧卷","RK1506270101"
"6","0101","1","1.000000","4.090000","2015/6/27 14:27:34","热轧卷","RK1506270102"
"7","0101","2","1.000000","6.710000","2015/6/27 14:27:56","热轧卷","RK1506270103"
"8","0101","1","1.000000","3.630000","2015/6/27 14:28:13","热轧卷","RK1506270104"
"9","0101","1","1.000000","4.220000","2015/6/27 14:30:56","热轧卷","RK1506270105"
"10","0101","3","1.000000","4.240000","2015/6/27 14:31:28","热轧卷","RK1506270106"
"11","0101","1","1.000000","3.240000","2015/6/27 14:34:27","热轧卷","RK1506270107"
"12","0101","3","1.000000","3.780000","2015/6/27 14:34:56","热轧卷","RK1506270108"
"13","0101","1","1.000000","4.300000","2015/6/27 14:35:16","热轧卷","RK1506270109"
"14","0101","1","1.000000","6.440000","2015/6/27 14:36:04","热轧卷","RK1506270110"
"15","0101","3","1.000000","8.590000","2015/6/27 14:36:25","热轧卷","RK1506270111"
"16","0101","1","1.000000","8.710000","2015/6/27 14:36:50","热轧卷","RK1506270112"
"17","0101","1","1.000000","8.290000","2015/6/27 14:37:15","热轧卷","RK1506270113"
"18","0101","2","1.000000","2.080000","2015/6/27 14:37:34","热轧卷","RK1506270114"
"19","0101","1","1.000000","2.780000","2015/6/27 14:38:47","热轧卷","RK1506270115"
"20","0101","2","1.000000","15.170000","2015/6/27 14:39:12","热轧卷","RK1506270116"
"21","0101","2","1.000000","2.340000","2015/6/27 14:39:32","热轧卷","RK1506270117"
"22","0101","1","1.000000","2.850000","2015/6/27 14:39:48","热轧卷","RK1506270118"
"23","0101","2","1.000000","2.430000","2015/6/27 14:40:05","热轧卷","RK1506270119"
"24","0101","3","1.000000","6.660000","2015/6/27 14:40:24","热轧卷","RK1506270120"
"25","0101","1","2.000000","43.418000","2015/6/30 9:59:35","热卷","RK1506300001"
"26","0101","1","2.000000","45.580000","2015/6/30 10:01:46","热卷","RK1506300003"
"27","0101","1","2.000000","59.827000","2015/6/30 10:10:20","热卷","RK1506300010"
"28","0101","2","76.000000","3.440000","2015/6/30 10:31:46","","CK1506300007"
"29","0101","1","2.000000","43.887000","2015/6/30 10:00:45","热卷","RK1506300002"
"30","0101","1","2.000000","55.303000","2015/6/30 10:04:14","热卷","RK1506300005"
"31","0101","1","2.000000","41.960000","2015/6/30 10:05:12","热卷","RK1506300006"
"32","0101","1","2.000000","58.220000","2015/6/30 10:05:50","热卷","RK1506300007"
"33","0101","3","","","2015/6/30 10:06:05","热轧卷","GA1506300002"
"34","0101","1","2.000000","41.780000","2015/6/30 10:06:28","热卷","RK1506300008"
"35","0101","1","2.000000","59.585000","2015/6/30 10:08:40","热卷","RK1506300009"
"36","0101","2","76.000000","30.005000","2015/6/30 10:41:58","","CK1506300008"
"37","0101","1","2.000000","55.860000","2015/6/30 10:02:54","热卷","RK1506300004"
"38","0101","3","","","2015/6/30 10:33:06","热卷","GA1506300003"
"39","0101","3","","","2015/6/30 10:33:10","热轧卷","GA1506300004"
"40","0101","3","","","2015/6/30 11:18:04","热轧卷","GA1506300009"
"41","0101","3","","","2015/6/30 11:18:06","热卷","GA1506300010"
"42","0101","3","","","2015/6/30 12:21:04","热轧卷","GA1506300014"
"43","0101","3","1.000000","24.610000","2015/6/30 10:56:56","","GH1506300008"
"44","0101","3","1.000000","24.630000","2015/6/30 10:57:42","","GH1506300009"
"45","0101","3","","","2015/6/30 11:36:24","热轧卷","GA1506300011"
