"   ","MANAGEID","DEPTID","DEPTNAME","PARENTDEPTID","PARENTDEPTNAME","SYSVERSION","USERPCID","LOGINIP","USERID","USERNAME","LASTLOGINTIME","LASTLOGOUTTIME","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","LOGINIPSERVICE","LOGINMAC"
"1","b873023a7a7a404e9f372331735e06be","0101","宝钢运输公司一号库","","","1.1.0.0164","yuanming","10.5.5.64","01010001","管理员","2010/2/2 17:07:40","","","","","","","",""
"2","b7ad467c2b204db6922411ddd23cfd13","0101","宝钢运输公司一号库","","","1.1.0.0253","peach","10.5.5.30","01010001","管理员","2010/4/6 14:14:54","2010/4/6 17:04:00","","","","","","",""
"3","713f666d31c645eaa1ebc6a7fc0cc208","0101","宝钢运输公司一号库","","","1.1.0.0351","dell-1f93489e26","192.168.1.102","01010001","管理员","2010/7/24 12:14:00","2010/7/24 12:17:38","","","","","","",""
"4","985e8363839949008a691b4586049140","0101","宝钢运输公司一号库","","","1.1.0.0351","dell-1f93489e26","192.168.1.102","01010001","管理员","2010/7/24 12:11:45","2010/7/24 12:13:34","","","","","","",""
"5","c7b6da8ac1444fcfb8b315fe5a02c6d6","0101","宝钢运输公司一号库","","","1.1.0.0371","lostinwest-PC","fe80::ccfc:7eef:16d:9ff3%18","01010001","管理员","2010/8/14 13:48:47","2010/8/14 13:52:20","","","","","","",""
"6","8bfb270ba26746e99040a47cdb35f4fd","0101","宝钢运输公司一号库","","","1.1.0.0374","68674ca688fc455","10.31.88.44","01010001","管理员","2010/8/23 9:38:25","2010/8/23 9:45:25","","","","","","",""
"7","d0c6044229e14815814ab1ae1600ad2d","0101","宝钢运输公司一号库","","","1.1.0.0374","YAOF-37902735A8","10.31.88.70","01010001","管理员","2010/8/20 14:08:40","2010/8/20 14:09:31","","","","","","",""
"8","b54c99e8a2e149148954751bbecce8d4","0101","宝钢运输公司一号库","","","1.1.0.0374","janet-PC","fe80::a421:6d4e:bf7f:5c5a%11","01010001","管理员","2010/8/20 14:12:08","2010/8/20 14:13:10","","","","","","",""
"9","5b7912afd64c4aa194b4ac63c2c58dbc","0101","宝钢运输公司一号库","","","1.1.0.0374","peach-PC","fe80::459:d138:7d48:6125%13","01010001","管理员","2010/8/20 12:48:35","2010/8/20 12:58:19","","","","","","",""
"10","a3264cc831b244c6be07a5619cbf1936","0101","宝钢运输公司一号库","","","1.1.0.0372","janet-PC","fe80::6d39:e1c7:e988:b07b%12","01010001","管理员","2010/8/19 9:08:17","2010/8/19 9:27:09","","","","","","",""
"11","5f5ef09ccbcb4fccba6510a22de8e976","0101","宝钢运输公司一号库","","","1.1.0.0374","janet-PC","fe80::a421:6d4e:bf7f:5c5a%11","01010001","管理员","2010/8/20 14:10:03","2010/8/20 14:10:33","","","","","","",""
"12","4321fb8cf80445b68b119c85fd58f979","0101","宝钢运输公司一号库","","","1.1.0.0082","1847CBC19EB3450","10.30.158.34","01010001","管理员","2010/8/20 14:46:59","","","","","","","",""
"13","09b04843efef46eeaa8b542b5fce48d1","0101","宝钢运输公司一号库","","","1.1.0.0374","1847CBC19EB3450","10.30.158.34","01010001","管理员","2010/8/20 14:50:56","2010/8/20 14:53:30","","","","","","",""
"14","f42dd17144af44b3812bce070789ff81","0101","宝钢运输公司一号库","","","1.1.0.0374","YAOF-37902735A8","10.31.88.70","01010001","管理员","2010/8/19 17:19:49","2010/8/19 17:24:59","","","","","","",""
"15","1afafe456ef449799c2ede5fa8ff74a1","0101","宝钢运输公司一号库","","","1.1.0.0374","peach-PC","fe80::459:d138:7d48:6125%13","01010001","管理员","2010/8/20 11:06:32","2010/8/20 11:56:34","","","","","","",""
"16","26f5f30ce92d410b8a5df4d2ddf79a20","0101","宝钢运输公司一号库","","","1.1.0.0381","janet-PC","fe80::6d39:e1c7:e988:b07b%12","01010001","管理员","2010/8/30 13:14:47","2010/8/30 13:16:48","","","","","","",""
"17","e670928e29264c0fa1912477cb277045","0101","宝钢运输公司一号库","","","1.1.0.0372","janet-PC","fe80::6d39:e1c7:e988:b07b%12","01010001","管理员","2010/8/19 10:14:29","2010/8/19 15:39:27","","","","","","",""
"18","694389baa4f941dca5e4ff480e15d2fe","0101","宝钢运输公司一号库","","","1.1.0.0381","janet-PC","fe80::6d39:e1c7:e988:b07b%12","01010001","管理员","2010/8/30 12:19:53","2010/8/30 12:45:14","","","","","","",""
"19","6f4d67485c544d1e906a382ea86cebb3","0101","宝钢运输公司一号库","","","1.1.0.0382","mjordan-PC","fe80::b49f:59e3:8ad5:2eaa%11","01010001","管理员","2010/8/31 11:07:02","2010/8/31 11:08:25","","","","","","",""
"20","15cbd2e8b3ce4968be6b3dbe01835f54","0101","宝钢运输公司一号库","","","1.1.0.0385","janet-PC","fe80::6d39:e1c7:e988:b07b%12","01010001","管理员","2010/9/1 10:01:24","2010/9/1 10:05:07","","","","","","",""
"21","9208de9a337e4d80b05f00dfc95e7e45","0101","宝钢运输公司一号库","","","1.1.0.0385","janet-PC","fe80::6d39:e1c7:e988:b07b%12","01010001","管理员","2010/9/1 9:55:24","2010/9/1 9:59:21","","","","","","",""
"22","cc852812acc143e0a99a12959678aaf5","0101","宝钢运输公司一号库","","","1.1.0.0372","janet-PC","fe80::6d39:e1c7:e988:b07b%12","01010001","管理员","2010/8/19 9:42:00","2010/8/19 9:42:41","","","","","","",""
"23","98416f7102c54b0a817c6745ccfacb8b","0101","宝钢运输公司一号库","","","1.1.0.0381","mjordan-PC","fe80::b49f:59e3:8ad5:2eaa%11","01010001","管理员","2010/8/30 10:20:48","2010/8/30 10:35:18","","","","","","",""
"24","98629e6c59f940879ac669b8310cfd2e","0101","宝钢运输公司一号库","","","1.1.0.0385","zoe-PC","fe80::65c1:82bf:520a:53a5%11","01010001","管理员","2010/8/31 13:53:37","2010/8/31 13:54:49","","","","","","",""
"25","8cebf10b807749b0aa8da104cf09a213","0101","宝钢运输公司一号库","","","1.1.0.0382","68674ca688fc455","10.31.88.86","01010001","管理员","2010/8/31 10:50:33","2010/8/31 11:08:50","","","","","","",""
"26","a40223d5571546648e581729b684f2e7","0101","宝钢运输公司一号库","","","1.1.0.0398","68674ca688fc455","192.168.2.17","01010001","管理员","2010/9/13 9:18:51","2010/9/13 10:48:59","","","","","","",""
"27","5e573c12dc404463b40514d15928e884","0101","宝钢运输公司一号库","","","1.1.0.0398","janet-PC","fe80::6d39:e1c7:e988:b07b%12","01010001","管理员","2010/9/13 9:17:50","2010/9/13 10:38:52","","","","","","",""
"28","65c23213c64441fb8c9a560b87c08056","0101","宝钢运输公司一号库","","","1.1.0.0393","lostinwest-PC","fe80::ccfc:7eef:16d:9ff3%18","01010001","管理员","2010/9/8 9:14:34","2010/9/8 9:15:11","","","","","","",""
"29","7ccb56d34cd647d7899b357201d4431c","0101","宝钢运输公司一号库","","","1.1.0.0393","lostinwest-PC","fe80::ccfc:7eef:16d:9ff3%18","01010001","管理员","2010/9/8 9:15:20","2010/9/8 11:12:08","","","","","","",""
"30","a89557e716464d6daf9ba94a2fda92d4","0101","宝钢运输公司一号库","","","1.1.0.0399","68674ca688fc455","10.31.88.86","01010001","管理员","2010/9/14 13:18:24","2010/9/14 13:31:44","","","","","","",""
"31","f433b5e95eb24bc1bc05d479b0636610","0101","宝钢运输公司一号库","","","1.1.0.0416","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/10/9 14:10:43","2010/10/9 14:45:03","","","","","","",""
"32","5c6ad55d8ed542e9af99d1225b035f5e","0101","宝钢运输公司一号库","","","1.1.0.0416","PC-20100807145015545","192.168.2.94","01010001","管理员","2010/10/5 15:54:39","2010/10/5 16:01:46","","","","","","",""
"33","1f28657554e146ab8a874d523cbe7216","0101","宝钢运输公司一号库","","","1.1.0.0415","68674ca688fc455","10.31.88.86","01010001","管理员","2010/9/30 10:25:48","2010/9/30 10:30:13","","","","","","",""
"34","6b798d49e79f4e17b7f90636267188f1","0101","宝钢运输公司一号库","","","1.1.0.0415","68674ca688fc455","10.31.88.86","01010001","管理员","2010/10/8 10:15:20","2010/10/8 10:16:15","","","","","","",""
"35","d6577501032c4cf58f7afc9e9bccd62d","0101","宝钢运输公司一号库","","","1.1.0.0399","68674ca688fc455","10.31.88.86","01010001","管理员","2010/9/16 15:00:56","","","","","","","",""
"36","bf3441605eb44038a2130e06ce7503db","0101","宝钢运输公司一号库","","","1.1.0.0399","WWW-C7DB5545D0B","10.31.88.77","01010001","管理员","2010/9/16 15:01:04","2010/9/16 15:17:56","","","","","","",""
"37","fef6233dc5bd428a89d7548e1f256f38","0101","宝钢运输公司一号库","","","1.1.0.0416","zoe-PC","fe80::65c1:82bf:520a:53a5%11","01010001","管理员","2010/10/9 8:53:44","2010/10/9 8:58:16","","","","","","",""
"38","9005e04c30a3427e997f6aced42e1e79","0101","宝钢运输公司一号库","","","1.1.0.0399","68674ca688fc455","10.31.88.86","01010001","管理员","2010/9/16 14:25:58","2010/9/16 14:40:40","","","","","","",""
"39","9e420825b09548538542fb88cc24ab38","0101","宝钢运输公司一号库","","","1.1.0.0415","68674ca688fc455","10.31.88.86","01010001","管理员","2010/9/30 13:21:24","2010/9/30 14:06:56","","","","","","",""
"40","ba0aa3091a6b4d9fa94459eddf0a990e","0101","宝钢运输公司一号库","","","1.1.0.0399","WWW-C7DB5545D0B","10.31.88.77","01010001","管理员","2010/9/16 15:18:34","2010/9/16 15:25:38","","","","","","",""
"41","2e3f3b134de5445aa4e865d0a35681f4","0101","宝钢运输公司一号库","","","1.1.0.0400","68674ca688fc455","10.31.88.86","01010001","管理员","2010/9/16 15:04:08","2010/9/16 15:37:22","","","","","","",""
