"   ","PRODAREAID","DEPTID","PRODAREANAME","SHORTCUT","REMARK","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","INNERCD","R_RECORD_CHANGE_FLAG","BWLNO"
"1","CD000181","0101","Ñà¸Ö","YG","","2014/2/12","","","","0","","",""
"2","CD000193","0101","ºÓ±±³Ð¸Ö","HBCG","","2014/2/12","","","","0","","",""
"3","CD000196","0101","Ïæ¸Ö","XG","","2014/2/12","","","","0","","",""
"4","CD000205","0101","ÐÂÓà","XY","","2014/2/12","","","","0","","",""
"5","CD000206","0101","»ªÎ°","HW","","2014/2/12","","","","0","","",""
"6","CD000207","0101","Õ×Ë³","ZS","","2014/2/12","","","","0","","",""
"7","CD000208","0101","³Ð¸Ö","CG","","2014/2/12","","","","0","","",""
"8","CD000212","0101","¶õ¸Ö","EG","","2014/2/12","","","","0","","",""
"9","CD000217","0101","ºÓ±±×Ýºá","HBZH","","2014/2/12","","","","0","","",""
"10","CD000218","0101","ÖÐÌú×°±¸","ZTZB","","2014/2/12","","","","0","","",""
"11","CD000228","0101","ÖÐÒ±ºãÍ¨","ZYHT","","2014/2/12","","","","0","","",""
"12","CD000229","0101","Äþ²¨¸ÖÌú","NG","","2014/2/12","","","","0","","",""
"13","CD000235","0101","ºã°²","HA","","2014/2/12","","","","0","","",""
"14","CD000243","0101","°°Áè","AL","","2014/2/12","","","","0","","",""
"15","CD000255","0101","Ê×¸ÖÇ¨°²","SGQA","","2014/2/12","","","","0","","",""
"16","CD000271","0101","Ç¨°²","QA","","2014/2/12","","","","0","","",""
"17","CD000275","0101","ÖÐÌì","ZT","","2014/2/12","","","","0","","",""
"18","CD000276","0101","Áè¸Ö","LG","","2014/2/12","","","","0","","",""
"19","CD000277","0101","¼ªÁÖ½¨Áú","JL","","2014/2/12","","","","0","","",""
"20","CD000278","0101","¼ª¸Ö","JG","","2014/2/12","","","","0","","",""
"21","CD000290","0101","ÐË³Î","XC","","2014/2/12","","","","0","","",""
"22","CD000291","0101","ÓÓÎ¬","YW","","2014/2/12","","","","0","","",""
"23","CD000292","0101","ÁúÌÚ","LT","","2014/2/12","","","","0","","",""
"24","CD000293","0101","½¨Áú","JL","","2014/2/12","","","","0","","",""
"25","CD000295","0101","ºê·á","HF","","2014/2/12","","","","0","","",""
