"   ","WPROVIDER_ID","PROVIDER_NAME","VOUCHER_NUM","FACTORY_PRODUCT_ID","PUTOUT_WEIGHT","PUTOUT_PRICE","OTHER_PRICE","PUTOUT_AMOUNT","STORE_PRICE","PROD_TYPE_DESC","SHOPSIGN","SPEC","PUTOUT_DATE","CLIENT_FEE_FLAG","FEE_SETTLE_TYPE","CONTRACT_SUBID","INOUTDOOR_FLAG","DEPTID","OWNER_NUM","SEG_NO","REPORT_MONTH"
"1","P01087","上海宝钢运输有限公司（一号库）","DC090703587","B9H0000026","60.520000","15.000000","0.000000","907.800000","0.000000","热轧棒钢","BMH13","Φ130*4000-6000","2009-07-21","10","出库费","X090600532001","室外","0101","SM","00101","200907"
"2","P01087","上海宝钢运输有限公司（一号库）","DC090703588","B9H0000027","110.240000","15.000000","0.000000","1653.600000","0.000000","热轧棒钢","BMH13","Φ140*4000-6000","2009-07-21","10","出库费","X090600532002","室外","0101","SM","00101","200907"
"3","P01087","上海宝钢运输有限公司（一号库）","DC090703589","B9H0000028","60.140000","15.000000","0.000000","902.100000","0.000000","热轧棒钢","BMH13","Φ150*4000-6000","2009-07-21","10","出库费","X090600532003","室外","0101","SM","00101","200907"
"4","P01087","上海宝钢运输有限公司（一号库）","DC090702348","A9H0000611","464.720000","15.000000","0.000000","6970.800000","0.000000","氧气瓶用方坯","34CrMo4","320*320*4000-10000*切边*BKJ09-006 34CrMo4","2009-07-15","10","出库费","X090300588001","室外","0101","SM","00101","200907"
"5","P01087","上海宝钢运输有限公司（一号库）","DC090702349","A9H0000612","483.900000","15.000000","0.000000","7258.500000","0.000000","氧气瓶用方坯","34CrMo4","300*300*4000-10000*切边*BKJ09-006 34CrMo4","2009-07-15","10","出库费","X090300589001","室外","0101","SM","00101","200907"
"6","P01087","上海宝钢运输有限公司（一号库）","DC090702350","A9H0000613","480.060000","15.000000","0.000000","7200.900000","0.000000","氧气瓶用方坯","34CrMo4","300*300*4000-10000*切边*BKJ09-006 34CrMo4","2009-07-15","10","出库费","X090300590001","室外","0101","SM","00101","200907"
"7","P01087","上海宝钢运输有限公司（一号库）","DC090702352","A9H0000614","486.580000","15.000000","0.000000","7298.700000","0.000000","氧气瓶用方坯","34CrMo4","320*320*4000-10000*切边*BKJ09-006 34CrMo4","2009-07-15","10","出库费","X090300591001","室外","0101","SM","00101","200907"
"8","P01087","上海宝钢运输有限公司（一号库）","DC090702357","A9H0000615","433.240000","15.000000","0.000000","6498.600000","0.000000","氧气瓶用方坯","34CrMo4","320*320*4000-10000*切边*BKJ09-006 34CrMo4","2009-07-15","10","出库费","X090300592001","室外","0101","SM","00101","200907"
"9","P01087","上海宝钢运输有限公司（一号库）","DC090702358","A9H0000616","469.640000","15.000000","0.000000","7044.600000","0.000000","氧气瓶用方坯","34CrMo4","320*320*4000-10000*切边*BKJ09-006 34CrMo4","2009-07-15","10","出库费","X090300593001","室外","0101","SM","00101","200907"
"10","P01087","上海宝钢运输有限公司（一号库）","DC090702359","A9H0000617","484.420000","15.000000","0.000000","7266.300000","0.000000","氧气瓶用方坯","34CrMo4","320*320*4000-10000*切边*BKJ09-006 34CrMo4","2009-07-15","10","出库费","X090300594001","室外","0101","SM","00101","200907"
"11","P01087","上海宝钢运输有限公司（一号库）","DC090702360","A9H0000618","239.980000","15.000000","0.000000","3599.700000","0.000000","氧气瓶用方坯","34CrMo4","320*320*4000-10000*切边*BKJ09-006 34CrMo4","2009-07-15","10","出库费","X090300602001","室外","0101","SM","00101","200907"
"12","P01087","上海宝钢运输有限公司（一号库）","DC090503948","A9H0000520","48.181000","15.000000","0.000000","722.715000","0.000000","锻件用钢板坯","45","450*450*4000-10000*切边*BJTB05-006 45","2009-05-26","10","出库费","X090300291001","","0101","SM","00101","200905"
"13","P01087","上海宝钢运输有限公司（一号库）","DC090502741","A9H0000520","64.152000","15.000000","0.000000","962.280000","0.000000","锻件用钢板坯","45","450*450*4000-10000*切边*BJTB05-006 45","2009-05-19","10","出库费","X090300291001","","0101","SM","00101","200905"
"14","P01087","上海宝钢运输有限公司（一号库）","DC090703352","A9H0001041","190.718000","15.000000","0.000000","2860.770000","0.000000","锻件用钢板坯","35CrMoV","450*450*4000-10000*切边*BJTB05-006 35CrMoV","2009-07-21","10","出库费","X090600013001","室外","0101","SM","00101","200907"
"15","P01087","上海宝钢运输有限公司（一号库）","DC090502528","A9H0000756","118.660000","15.000000","0.000000","1779.900000","0.000000","锻件用钢管坯","36CrNiMo4","185*185*4000-10000*切边*Q/BQB150 36CrNiMo4","2009-05-18","10","出库费","X090400845001","","0101","SM","00101","200905"
"16","P01087","上海宝钢运输有限公司（一号库）","DC090705880","A9H0001300","98.540000","15.000000","0.000000","1478.100000","0.000000","锻件用钢板坯","16Mn(TM)","250*1200*4000-10000*切边*BJTB04-016 16Mn(TM)","2009-07-31","10","出库费","X090700032001","室外","0101","SM","00101","200907"
"17","P01087","上海宝钢运输有限公司（一号库）","DC090705881","A9H0001093","147.660000","15.000000","0.000000","2214.900000","0.000000","锻件用钢板坯","16Mn(TM)","250*1200*4000-10000*切边*BJTB04-016 16Mn(TM)","2009-07-31","10","出库费","X090600157001","室外","0101","SM","00101","200907"
"18","P01087","上海宝钢运输有限公司（一号库）","DC090800662","A9H0001223","24.240000","15.000000","0.000000","363.600000","0.000000","模具用钢板坯","P20","220*1600*4000-10000*切边*Q/BQB 135 P20","2009-08-04","10","出库费","X090600538010","","0101","SM","00101","200908"
"19","P01087","上海宝钢运输有限公司（一号库）","DC090800239","A9H0001225","240.740000","8.000000","0.000000","1925.920000","0.000000","锻件用钢板坯","34CrNi3Mo","450*650*4000-10000*切边*BBJ04-516 34CrNi3Mo","2009-08-03","10","出库费","X090600579001","","0101","SM","00101","200908"
"20","P01087","上海宝钢运输有限公司（一号库）","DC090505323","B9H0000019","58.380000","0.000000","0.000000","0.000000","0.000000","热轧棒钢","BMH13","Φ90*4000-10000","2009-05-31","10","出库费","X090400675001","","0101","SM","00101","200905"
"21","P01087","上海宝钢运输有限公司（一号库）","DC090701981","A9H0001026","233.140000","15.000000","0.000000","3497.100000","0.000000","锻件用钢板坯","34CrMo","450*450*4000-10000*切边*BJTB05-006 34CrMo","2009-07-13","10","出库费","X090600014001","室外","0101","SM","00101","200907"
"22","P01087","上海宝钢运输有限公司（一号库）","DC090700096","B9H0000023","224.800000","15.000000","0.000000","3372.000000","0.000000","热轧棒钢","P280GH","Φ175*4000-10000","2009-07-01","10","出库费","X090500641001","室外","0101","SM","00101","200907"
"23","P01087","上海宝钢运输有限公司（一号库）","DC090500691","A9H0000251","478.880000","15.000000","0.000000","7183.200000","0.000000","氧气瓶用方坯","34CrMo4","320*320*4000-10000*切边*BKJ09-006 34CrMo4","2009-05-06","10","出库费","X090100646001","","0101","SM","00101","200905"
"24","P01087","上海宝钢运输有限公司（一号库）","DC090501072","A9H0000199","205.700000","15.000000","0.000000","3085.500000","0.000000","氧气瓶用方坯","34CrMo4","300*300*4000-10000*切边*BKJ09-006 34CrMo4","2009-05-08","10","出库费","X081200936001","","0101","SM","00101","200905"
"25","P01087","上海宝钢运输有限公司（一号库）","DC090501073","A9H0000200","241.900000","15.000000","0.000000","3628.500000","0.000000","氧气瓶用方坯","34CrMo4","280*280*4000-10000*切边*BKJ09-006 34CrMo4","2009-05-08","10","出库费","X081200937001","","0101","SM","00101","200905"
"26","P01087","上海宝钢运输有限公司（一号库）","DC090501074","A9H0000201","479.920000","15.000000","0.000000","7198.800000","0.000000","氧气瓶用方坯","34CrMo4","280*280*4000-10000*切边*BKJ09-006 34CrMo4","2009-05-08","10","出库费","X081200938001","","0101","SM","00101","200905"
"27","P01087","上海宝钢运输有限公司（一号库）","DC090501075","A9H0000253","482.760000","15.000000","0.000000","7241.400000","0.000000","氧气瓶用方坯","34CrMo4","320*320*4000-10000*切边*BKJ09-006 34CrMo4","2009-05-08","10","出库费","X090100650001","","0101","SM","00101","200905"
"28","P01087","上海宝钢运输有限公司（一号库）","DC090501088","A9H0000254","482.780000","15.000000","0.000000","7241.700000","0.000000","氧气瓶用方坯","34CrMo4","300*300*4000-10000*切边*BKJ09-006 34CrMo4","2009-05-08","10","出库费","X090100651001","","0101","SM","00101","200905"
"29","P01087","上海宝钢运输有限公司（一号库）","DC090501089","A9H0000255","467.960000","15.000000","0.000000","7019.400000","0.000000","氧气瓶用方坯","34CrMo4","300*300*4000-10000*切边*BKJ09-006 34CrMo4","2009-05-08","10","出库费","X090100652001","","0101","SM","00101","200905"
"30","P01087","上海宝钢运输有限公司（一号库）","DC090501090","A9H0000256","478.220000","15.000000","0.000000","7173.300000","0.000000","氧气瓶用方坯","34CrMo4","300*300*4000-10000*切边*BKJ09-006 34CrMo4","2009-05-08","10","出库费","X090100312001","","0101","SM","00101","200905"
"31","P01087","上海宝钢运输有限公司（一号库）","DC090501131","A9H0000778","87.480000","15.000000","0.000000","1312.200000","0.000000","锻件方坯","42CrMo","360*360*4000-10000*切边*BJTT05-006 42CrMo","2009-05-08","10","出库费","X090400853001","","0101","SM","00101","200905"
