"   ","SHOPSIGNID","SHOPSIGNNAME","SHORTCUT","REMARK","DEPTID","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG","SHOPSIGNCD","ISCHECK"
"1","GZ002313","SW718H","SW718H","","0101","2008/6/7 5:17:00","100004","","","0","","",""
"2","GZ002315","IF STEEL RRQ","IF STEEL RRQ","","0101","2008/6/9 11:44:00","100003","","","0","","",""
"3","GZ002318","BM48C","BM48C","","0101","2008/6/10 9:46:00","100003","","","0","","",""
"4","GZ002320","A460LF","A460LF","","0101","2008/6/11 11:08:00","100006","2008/6/11 11:08:00","100006","0","","",""
"5","GZ002321","4Cr16Mo","4Cr16Mo","","0101","2008/6/13 2:55:00","100004","","","0","","",""
"6","GZ002327","MR  T-2.5BA","MR  T-2.5BA","","0101","2008/6/14 0:38:00","100005","","","0","","",""
"7","GZ002329","Q345A","Q345A","","0101","2008/6/17 12:27:00","100002","","","0","","",""
"8","GZ002331","±â¸Ö","BG","","0101","2008/6/18 0:26:00","100005","","","0","","",""
"9","GZ002333","35SiMn","35SiMn","","0101","2008/6/20 0:52:00","100005","","","0","","",""
"10","GZ002335","20SIMN","20","","0101","2008/6/23 13:53:00","100001","","","0","","",""
"11","GZ002361","SWPH13","SWPH13","","0101","2008/7/11 6:19:00","100004","","","0","","",""
"12","GZ002381","MRT-2.5BA","MRT-2.5BA","","0101","2008/7/23 23:20:00","100005","","","0","","",""
"13","GZ002382","MRDR-8CA","MRDR-8CA","","0101","2008/7/23 23:55:00","100005","","","0","","",""
"14","GZ002390","SS400-2","SS400-2","","0101","2008/7/31 11:08:00","100002","","","0","","",""
"15","GZ002391","BSS-1","","","0101","2008/7/31 11:20:00","100006","","","0","","",""
"16","GZ002401","MR T-3CA IF","","","0101","2008/8/2 11:17:00","100002","","","0","","",""
"17","GZ002406","7Cr7Mo2V2Si","7Cr7Mo2V2Si","7Cr7Mo2V2Si","0101","2008/8/8 6:45:00","100004","","","0","","",""
"18","GZ002409","TIN FREE STEEL PLATE","","","0101","2008/8/12 11:37:00","100003","","","0","","",""
"19","GZ002413","LG510L","LG510L","","0101","2008/8/14 11:57:00","100002","","","0","","",""
"20","GZ002418","Q23B","Q23B","","0101","2008/8/28 2:43:00","100004","","","0","","",""
"21","GZ002423","LZ50","LZ50","","0101","2008/9/4 10:30:00","100001","","","0","","",""
"22","GZ002425","S55C","S55C","","0101","2008/9/5 7:36:00","100004","","","0","","",""
"23","GZ002428","CCSEH36","","","0101","2008/9/9 9:38:00","100006","","","0","","",""
"24","GZ002432","F91","","","0101","2008/9/12 14:30:00","100006","","","0","","",""
"25","GZ002435","B30M","B30M","","0101","2008/9/16 8:50:00","100002","","","0","","",""
"26","GZ002437","15CRMOG","15CRMOG","","0101","2008/9/17 14:01:00","","","","0","","",""
"27","GZ002445","B30PH-X","B30PH-X","","0101","2008/9/25 8:28:00","100001","","","0","","",""
"28","GZ002446","DR-8MCA","DR-8MCA","","0101","2008/9/27 9:04:00","100002","","","0","","",""
"29","GZ002447","34crmo1a","","","0101","2008/9/27 16:49:00","100003","","","0","","",""
"30","GZ002458","MR T55BA","","","0101","2008/10/16 12:52:00","100003","","","0","","",""
"31","GZ002465","S30C","S30C","","0101","2008/10/28 9:38:00","100001","","","0","","",""
"32","GZ002477","TH415","TH415","","0101","2008/11/26 9:47:00","100031","","","0","","",""
"33","GZ002483","MR DR-9CA","MR DR-9CA","","0101","2008/12/15 9:17:00","100031","","","0","","",""
"34","GZ002484","DH36-1","","","0101","2008/12/16 10:23:00","100003","","","0","","",""
"35","GZ002485","Q345E","","","0101","2008/12/16 10:24:00","100003","","","0","","",""
"36","GZ002486","B","","","0101","2008/12/16 10:24:00","100003","","","0","","",""
"37","GZ002490","SWP20H","SWP20H","","0101","2008/12/20 6:05:00","100005","","","0","","",""
"38","GZ002492","T91","","","0101","2008/12/26 21:50:00","100004","","","0","","",""
"39","GZ002496","H13L","","","0101","2008/12/31 2:57:00","100004","","","0","","",""
"40","GZ002498","l290mcs","","","0101","2009/1/3 14:26:00","100003","","","0","","",""
"41","GZ002501","20CrMnTiH","20CrMnTiH","","0101","2009/1/7 0:24:00","100005","","","0","","",""
"42","GZ002516","B20H","B20H","","0101","2009/1/30 9:56:00","100001","","","0","","",""
"43","GZ002520","DR520 CA","DR520 CA","","0101","2009/2/2 11:00:00","100002","","","0","","",""
"44","GZ002521","DR580 CA","DR580 CA","","0101","2009/2/2 11:04:00","100002","","","0","","",""
"45","GZ002532","A400LF","A400LF","","0101","2009/2/16 11:27:00","100002","","","0","","",""
"46","GZ002537","L DR-8BA","L DR-8BA","","0101","2009/2/25 9:50:00","100031","","","0","","",""
"47","GZ002544","S600MC","S600MC","","0101","2009/3/6 15:16:00","100031","","","0","","",""
"48","GZ002551","Q345D-Z35","Q345D-Z35","","0101","2009/3/23 16:11:00","100002","","","0","","",""
"49","GZ002558","30CrMnTi","30CrMnTi","","0101","2009/3/28 6:24:00","100005","","","0","","",""
"50","GZ002560","HPB235","HPB235","","0101","2009/3/31 10:53:00","100031","","","0","","",""
"51","GZ002574","BMH13","BMH13","","0101","2009/4/27 8:02:00","100031","","","0","","",""
"52","GZ002582","Cr12MoV","Cr12MoV","","0101","2009/5/15 6:42:00","100005","","","0","","",""
"53","GZ002587","40MnB","40MnB","","0101","2009/5/25 8:56:00","100031","","","0","","",""
"54","GZ002599","201","201","","0101","2009/6/11 12:56:00","100002","","","0","","",""
