"   ","MANAGENO","SETTLECD","DEPTID","INVOICEKINDID","INVOICEKINDNAME","DEPTNO","DEPTNAME","SETTLEDATE","INVOICETYPEID","INVOICETYPENAME","INVOICENO","CHEQUENO","CHEQUESUM","CHEQUEUNIT","CREDITNO","CREDITAMOUNT","CASH","EARNEST","FACTSUM","BORROW","REMIT","EDITOR","EDITORNAME","CREATDATE","FLAG","MEMO","RESOURCENO","INVOICEFLAG","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG","BIZ_ID","BIZ_TYPE_ID","BIZ_TYPE_NAME","CUSTOM_ID","CUSTOM_NAME","SETTLE_DATA","SETTLE_WEIGHT","SHOULD_SUM","SUB_BIZ_TYPE_ID","SUB_BIZ_TYPE_NAME","WEIGHTSUM","GROSSWEIGHTSUM","ISPAY","BILLEMPNAME","FOREIGNLISTNO","JGBUSINESSNO","SETTLEDEPTNO","SETTLEDEPTNAME","FEEKK","KPUSERNAME","KPAMOUNT","KPDATE","SETTLELOCK","JYZXFLAG","JYZXSENDFLAG","JYZXFPSENDFLAG","JYZXISPAYFEE","SENDMESSAGE","INVOICEBILLNO","DIRECTION","SETTLETAXSUM","SETTLENOTAXSUM"
"1","a1e524eb00f14f3980da9defb74b44d7","1508120027","0101","014002","现结","KH04461","上海知义金属制品有限公司","2015/8/12 14:10:51","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH04461","","1.000000","0.0000","0.0000","1170.0000","0.0000","1170.0000","100006","肖燕","2015/8/12 14:10:48","1","","","0","2015/8/12 14:10:47","100006","2015/8/12 14:11:26","100006","0","0","0115080171","003","加工","","","","44.95","1173.1900","","","44.9500","44.9500","0","肖燕","","","","","0.0000","","0.0000","","","0","0","0","0","","","","0.0000","0.0000"
"2","c0a38e4b257f4e93b9f3a5653608fc40","1403310001","0101","014002","现结","KH02655","浙江宏厚贸易有限公司","2014/3/31 11:20:25","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH02655","","0.000000","500.0000","0.0000","500.0000","0.0000","0.0000","100002","顾陆萍","2014/3/31 11:20:19","1","","","0","2014/3/31 11:20:19","100002","2014/4/1 14:31:49","100002","0","0","CK1403310001","002","出库","","","","27.6620","497.9200","","","27.6620","27.6620","0","顾陆萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"3","cc0f0d8c669f4ba6a0a1eb67debd8268","1403310002","0101","014002","现结","KH02655","浙江宏厚贸易有限公司","2014/3/31 11:35:47","a011accffb1347088e4af4fb1c5d9237","增值税发票17%","","","0.0000","KH02655","","0.000000","690.0000","0.0000","690.0000","0.0000","0.0000","100002","顾陆萍","2014/3/31 11:35:40","1","","","0","2014/3/31 11:35:40","100002","2014/4/1 14:31:57","100002","0","0","CK1403310001","002","出库","","","","27.6620","691.5500","","","27.6620","27.6620","0","顾陆萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"4","117e7c577c4547d2ba3468ecc6d8cb11","1403310003","0101","014002","现结","KH02012","上海斐颖鑫物资贸易有限公司","2014/3/31 11:47:32","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH02012","","0.000000","350.0000","0.0000","350.0000","0.0000","0.0000","100002","顾陆萍","2014/3/31 11:47:29","1","","","0","2014/3/31 11:47:29","100002","2014/4/1 14:31:49","100002","0","0","CK1403310002","002","出库","","","","19.2500","346.5000","","","19.2500","19.2500","0","顾陆萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"5","c75ef2b81d244fbeb559b17d0396fb03","1403310004","0101","014002","现结","KH02012","上海斐颖鑫物资贸易有限公司","2014/3/31 11:48:57","a011accffb1347088e4af4fb1c5d9237","增值税发票17%","","","0.0000","KH02012","","0.000000","480.0000","0.0000","480.0000","0.0000","0.0000","100002","顾陆萍","2014/3/31 11:48:53","1","","","0","2014/3/31 11:48:53","100002","2014/4/1 14:31:57","100002","0","0","CK1403310002","002","出库","","","","19.2500","481.2500","","","19.2500","19.2500","0","顾陆萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"6","e183a25104f4478e80b1404e3d745b92","1403310005","0101","014002","现结","KH00132","武汉宝钢华中贸易有限公司","2014/3/31 12:36:26","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH00132","","0.000000","450.0000","0.0000","450.0000","0.0000","0.0000","100003","钱晓平","2014/3/31 12:36:23","1","","","0","2014/3/31 12:36:24","100003","2014/4/1 14:31:49","100003","0","0","CK1403310003","002","出库","","","","24.32","449.9200","","","24.3200","24.3200","0","钱晓平","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"7","89585c02c9794f7a876389cd27cdc822","1403310007","0101","014002","现结","KH02876","上海裕颜实业有限公司","2014/3/31 13:21:36","a011accffb1347088e4af4fb1c5d9237","增值税发票17%","","","0.0000","KH02876","","0.000000","0.0000","0.0000","82.2500","0.0000","82.2500","100002","顾陆萍","2014/3/31 13:21:33","1","","","0","2014/3/31 13:21:33","100002","2014/4/1 14:31:57","100002","0","0","CK1403310004","002","出库","","","","3.29","82.2500","","","3.2900","3.2900","0","顾陆萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"8","25d25b899549460f9fa30ee67767842b","1403310006","0101","014002","现结","KH02876","上海裕颜实业有限公司","2014/3/31 13:20:56","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH02876","","0.000000","0.0000","0.0000","59.2200","0.0000","59.2200","100002","顾陆萍","2014/3/31 13:20:53","1","","","0","2014/3/31 13:20:52","100002","2014/4/1 14:31:49","100002","0","0","CK1403310004","002","出库","","","","3.29","59.2200","","","3.2900","3.2900","0","顾陆萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"9","298b1623dd8b476a8cf10b65c2016119","1403310008","0101","014002","现结","KH02876","上海裕颜实业有限公司","2014/3/31 13:24:40","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH02876","","0.000000","0.0000","0.0000","298.9800","0.0000","298.9800","100002","顾陆萍","2014/3/31 13:24:36","1","","","0","2014/3/31 13:24:36","100002","2014/4/1 14:31:49","100002","0","0","CK1403310005","002","出库","","","","16.61","298.9800","","","16.6100","16.6100","0","顾陆萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"10","84e6ca319d8747ec9e422f9da5b08e5c","1403310009","0101","014002","现结","KH02876","上海裕颜实业有限公司","2014/3/31 13:25:51","a011accffb1347088e4af4fb1c5d9237","增值税发票17%","","","0.0000","KH02876","","0.000000","0.0000","0.0000","415.2500","0.0000","415.2500","100002","顾陆萍","2014/3/31 13:25:32","1","","","0","2014/3/31 13:25:32","100002","2014/4/1 14:31:57","100002","0","0","CK1403310005","002","出库","","","","16.61","415.2500","","","16.6100","16.6100","0","顾陆萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
