"   ","OUTPACKID","DEPTID","OUTBILLNO","GOODSID","PACKNUM","BARCODE","GOODSLOCID","OWNERNAME","OWNERNO","GOODSOWNERMANAGENUM","GOODSOWNERPACKNUM","MANAGENUM","INBEGINTIME","CONTRACTNO","OLDGOODSSTATENAME","OLDGOODSSTATENO","GOODSSTATENAME","GOODSSTATENO","GOODSTYPENAME","GOODSTYPE","KINDNAME","KINDNO","SHOPSIGNNAME","SHOPSIGNID","PRODAREANAME","PRODAREAID","GOODSBATCHNUM","GRADENUM","GRADENUMTHICK","GRADENUMWIDTH","GRADENUMLENGTH","GROSSWEIGHT","OUTGROSSWEIGHT","OUTNETWEIGHT","NETWEIGHT","POUNDWEIGHT","CHECKWEIGHT","SHEETNUM","PACKTYPE","QUALITYMEMO","FIRSTINOWNERID","FIRSTINDATE","INBILLID","MATERIALGOODSID","INTYPE","MEMO","CUSTBILL","SENDFLAG","VELFLAG","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","FOREIGNLISTNO","CREATEID","CREATERNAME","SIDEMARK","STOCKTYPE","OUTBILLPICKOWNERNAME","R_RECORD_CHANGE_FLAG","INCUSTTIME","CUSTDAY","SDPRICE","OUTTYPE","EXTSYSKINDID","EXTSYSSHOPSIGNID","EXTSYSGRADENUM","PRODSTOVENO","CHECK_TYPE","SINGLESHEETNUM","SINGLESHEET","GRADENUMXH","OUTBILLPICKOWNERNO","OUTPASSWORD","SHIPNO","SHIPNAME","SHIPCD","SHIPLEVEL","SORT_EMP","LENGTH_PRODUCT_MAX","PACKTYPENAME","DBCKFLAG","DBOWNER","DISPERSESHEET","OUTCARNO","OUTCUSTTIME","PLY","ORIGINOUTSHEETNUM","OUTSHEETNUM","ORIGINOUTNETWEIGHT","ISSPLIT","PREFOREIGNLISTNO","DRAWNO","HANDNO","SAVENO","LOCLV2","GRADENUMWHDW","OPTFLAG","PAYEDFLAG","SALE_PRICE_AT","PRICE","CHANGEOWNERTIMES","CONTRACT_ID","CONTRACT_SUBID","JYZXFLAG","OUTBILLDATE","ROLLPLY","READYOUT","VALIDDATE","LOCKCOUNT","LOCLV1"
"1","3da202ca68df4ae5b65c56481c4fd69a","0101","CK1407080054","737db735f89d44beb2bfab30f960d627","A140626372S","1232207902972","CF1342","山西焦煤集团国际贸易有限责任公司","KH04647","","","SXJM兴宁77140702ZK","2014/7/1 7:59:00","","正常在库","20","已出库","40","普通货物","018001","热卷","PZ001001004","Q345B","GZ000887","本钢","CD000057","","5*1500*0","5.000000","1500.000000","0.000000","21.874000","21.874000","21.874000","21.874000","21.874000","0.000000","1.000000","","","KH04647","2014/7/2 11:51:19","RK1407020106","","20","","","0","1","2014/7/8 20:33:10","1919","2014/7/10 11:09:29","100003","0","2014-07-01","1919","徐雨亭","","室内存储","上海鸿厚贸易有限公司","2","2014/7/2 11:51:19","6","","正常出库","","","","","","1.000000","0.000000","0.000000","KH04928","","","","","","","0.000000","","0","","0.000000","","2014/7/8 20:33:15","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"2","d5f7878355d94fbe9004f856762e139e","0101","CK1407080054","0d021db2b1cb4a0eb61c2d250768cd56","D140325797D","1232207906291","S1111","山西焦煤集团国际贸易有限责任公司","KH04647","","","SXJM富翔1020140414L","2014/4/13 19:58:00","","正常在库","20","已出库","40","普通货物","018001","热卷","PZ001001004","SPHC","GZ000005","本钢","CD000057","","5*1500*0","5.000000","1500.000000","0.000000","22.710000","22.710000","22.710000","22.710000","22.710000","0.000000","1.000000","","","KH04647","2014/4/14 9:18:51","RK1404140012","","20","","","0","1","2014/7/8 20:33:10","1919","2014/7/10 11:09:29","100003","0","2014-07-01","1919","徐雨亭","","室内存储","上海鸿厚贸易有限公司","2","2014/4/14 9:18:51","85","","正常出库","","","","","","1.000000","0.000000","0.000000","KH04928","","","","","","","0.000000","","0","","0.000000","","2014/7/8 20:33:15","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"3","6ac500cc5f71431db60d34b5e16ecbdb","0101","CK1407080054","fdb3fb1a4cdc4a69812e7f4e1aac43c5","D140325795D","1232207963270","DB1572","山西焦煤集团国际贸易有限责任公司","KH04647","","","SXJM富翔1020140414L","2014/4/13 19:30:00","","正常在库","20","已出库","40","普通货物","018001","热卷","PZ001001004","SPHC","GZ000005","本钢","CD000057","","5*1500*0","5.000000","1500.000000","0.000000","22.630000","22.630000","22.630000","22.630000","22.630000","0.000000","1.000000","","","KH04647","2014/4/14 9:18:51","RK1404140012","","20","","","0","1","2014/7/8 20:33:10","1919","2014/7/10 11:09:29","100003","0","2014-07-01","1919","徐雨亭","","室内存储","上海鸿厚贸易有限公司","2","2014/4/14 9:18:51","85","","正常出库","","","","","","1.000000","0.000000","0.000000","KH04928","","","","","","","0.000000","","0","","0.000000","","2014/7/8 20:33:15","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"4","c81e2230d8dc4679b0b8780dea22cc81","0101","CK1407100029","39b3d6fc87fa486b83eeae988ce851f2","X140608061S-01","1232207619177","KB1111","上海达阳实业有限公司","KH01986","","","MXD兴宁7720140702M","2014/7/9 9:53:42","","正常在库","20","已出库","40","加工成品","018004","热轧开平板","PZ006004002","Q235B","GZ000419","本钢","CD000057","","2.75*1250*1900","2.750000","1250.000000","1900.000000","3.910000","3.910000","3.910000","3.910000","3.910000","3.910000","77.000000","","","KH01528","2014/7/9 9:53:42","","0114070356","60","","","0","1","2014/7/10 17:22:08","100002","","","0","9912","100002","顾陆萍","","未知","上海达阳实业有限公司","2","2014/7/9 9:53:42","1","","正常出库","","","","","","0.000000","0.000000","0.000000","KH01986","","","","","","","0.000000","","0","","0.000000","","2014/7/10 17:22:10","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"5","af346907e82f4ef8ac8fb32966c4c6e9","0101","CK1407100029","1c21186f2566487db6db43c039d251a4","X140608061S-02","1232207619184","KB1111","上海达阳实业有限公司","KH01986","","","MXD兴宁7720140702M","2014/7/9 9:53:42","","正常在库","20","已出库","40","加工成品","018004","热轧开平板","PZ006004002","Q235B","GZ000419","本钢","CD000057","","2.75*1250*1900","2.750000","1250.000000","1900.000000","3.910000","3.910000","3.910000","3.910000","3.910000","3.910000","77.000000","","","KH01528","2014/7/9 9:53:42","","0114070356","60","","","0","1","2014/7/10 17:22:08","100002","","","0","9912","100002","顾陆萍","","未知","上海达阳实业有限公司","2","2014/7/9 9:53:42","1","","正常出库","","","","","","0.000000","0.000000","0.000000","KH01986","","","","","","","0.000000","","0","","0.000000","","2014/7/10 17:22:10","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"6","c714d7bf8cb64c55a9ac881ef54cd573","0101","CK1407100029","4fd4499a91414cdd9f33708cff55e1ba","X140608061S-03","1232207619191","KB1111","上海达阳实业有限公司","KH01986","","","MXD兴宁7720140702M","2014/7/9 9:53:42","","正常在库","20","已出库","40","加工成品","018004","热轧开平板","PZ006004002","Q235B","GZ000419","本钢","CD000057","","2.75*1250*1900","2.750000","1250.000000","1900.000000","3.910000","3.910000","3.910000","3.910000","3.910000","3.910000","77.000000","","","KH01528","2014/7/9 9:53:42","","0114070356","60","","","0","1","2014/7/10 17:22:08","100002","","","0","9912","100002","顾陆萍","","未知","上海达阳实业有限公司","2","2014/7/9 9:53:42","1","","正常出库","","","","","","0.000000","0.000000","0.000000","KH01986","","","","","","","0.000000","","0","","0.000000","","2014/7/10 17:22:10","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"7","943ca448d3c241bcb1957bda5c5ddfc0","0101","CK1407100029","2931c7877cbf4c549188d25d1b45fb97","X140608061S-04","1232207619207","KB1111","上海达阳实业有限公司","KH01986","","","MXD兴宁7720140702M","2014/7/9 9:53:42","","正常在库","20","已出库","40","加工成品","018004","热轧开平板","PZ006004002","Q235B","GZ000419","本钢","CD000057","","2.75*1250*1900","2.750000","1250.000000","1900.000000","3.910000","3.910000","3.910000","3.910000","3.910000","3.910000","77.000000","","","KH01528","2014/7/9 9:53:42","","0114070356","60","","","0","1","2014/7/10 17:22:08","100002","","","0","9912","100002","顾陆萍","","未知","上海达阳实业有限公司","2","2014/7/9 9:53:42","1","","正常出库","","","","","","0.000000","0.000000","0.000000","KH01986","","","","","","","0.000000","","0","","0.000000","","2014/7/10 17:22:10","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"8","08b0f71554d748bea32b9a5fc2902c10","0101","CK1407100029","7ad0e77b086d41b28a6f126065b3403b","X140608061S-05","1232207619214","KB1111","上海达阳实业有限公司","KH01986","","","MXD兴宁7720140702M","2014/7/9 9:53:42","","正常在库","20","已出库","40","加工成品","018004","热轧开平板","PZ006004002","Q235B","GZ000419","本钢","CD000057","","2.75*1250*1900","2.750000","1250.000000","1900.000000","4.010000","4.010000","4.010000","4.010000","4.010000","4.010000","79.000000","","","KH01528","2014/7/9 9:53:42","","0114070356","60","","","0","1","2014/7/10 17:22:08","100002","","","0","9912","100002","顾陆萍","","未知","上海达阳实业有限公司","2","2014/7/9 9:53:42","1","","正常出库","","","","","","0.000000","0.000000","0.000000","KH01986","","","","","","","0.000000","","0","","0.000000","","2014/7/10 17:22:10","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"9","ae31e099dcdd486abc484da31506b233","0101","CK1407100029","909e1ea80669433c9df4178b0ba6ee32","X140608061S-06","1232207619221","KB1111","上海达阳实业有限公司","KH01986","","","MXD兴宁7720140702M","2014/7/9 9:53:42","","正常在库","20","已出库","40","加工成品","018004","热轧开平板","PZ006004002","Q235B","GZ000419","本钢","CD000057","","2.75*1250*550+200","2.750000","1250.000000","1900.000000","0.010000","0.010000","0.010000","0.010000","0.010000","0.010000","2.000000","","","KH01528","2014/7/9 9:53:42","","0114070356","60","","","0","1","2014/7/10 17:22:08","100002","","","0","9912","100002","顾陆萍","","未知","上海达阳实业有限公司","2","2014/7/9 9:53:42","1","","正常出库","","","","","","0.000000","0.000000","0.000000","KH01986","","","","","","","0.000000","","0","","0.000000","","2014/7/10 17:22:10","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"10","448d47ffe2ef490d9422a05e8d8e6580","0101","CK1407090045","58c9990925cc44faaf5799c9c76bb047","44036775-08","1232207618842","KB1111","上海昕允实业有限公司","KH05636","","","HN皖太远1689140605L","2014/7/9 15:31:37","","正常在库","20","已出库","40","加工成品","018004","带钢","PZ001001030","Q345B","GZ000887","武钢","CD000064","","2.5*130*0","2.500000","130.000000","0.000000","2.010000","2.010000","2.010000","2.010000","2.010000","2.010000","1.000000","007001                          ","","KH04122","2014/7/9 15:31:37","","0114070382","60","","","0","1","2014/7/9 22:31:18","100060","","","0","1301663","100060","潘华良","","未知","上海昕允实业有限公司","2","2014/7/9 15:31:37","0","","正常出库","","","","","","0.000000","0.000000","0.000000","KH05636","","","","","","","0.000000","裸包装","0","","0.000000","","2014/7/9 22:31:20","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"11","be54699980eb46d5a97d89787126b70d","0101","CK1407090045","3e690cd4cbaf4391ad62b6797c11ac68","44036775-09","1232207618538","KB1111","上海昕允实业有限公司","KH05636","","","HN皖太远1689140605L","2014/7/9 15:31:37","","正常在库","20","已出库","40","加工成品","018004","带钢","PZ001001030","Q345B","GZ000887","武钢","CD000064","","2.5*130*0","2.500000","130.000000","0.000000","2.010000","2.010000","2.010000","2.010000","2.010000","2.010000","1.000000","007001                          ","","KH04122","2014/7/9 15:31:37","","0114070382","60","","","0","1","2014/7/9 22:31:18","100060","","","0","1301663","100060","潘华良","","未知","上海昕允实业有限公司","2","2014/7/9 15:31:37","0","","正常出库","","","","","","0.000000","0.000000","0.000000","KH05636","","","","","","","0.000000","裸包装","0","","0.000000","","2014/7/9 22:31:20","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"12","7211b54c905b430e9061744a737bd77c","0101","CK1407090045","fec0866512c4472bb997cb93b0adb764","44036775-10","1232207618545","KB1111","上海昕允实业有限公司","KH05636","","","HN皖太远1689140605L","2014/7/9 15:31:37","","正常在库","20","已出库","40","加工成品","018004","带钢","PZ001001030","Q345B","GZ000887","武钢","CD000064","","2.5*80*0","2.500000","80.000000","0.000000","1.240000","1.240000","1.240000","1.240000","1.240000","1.240000","1.000000","007001                          ","","KH04122","2014/7/9 15:31:37","","0114070382","60","","","0","1","2014/7/9 22:31:18","100060","","","0","1301663","100060","潘华良","","未知","上海昕允实业有限公司","2","2014/7/9 15:31:37","0","","正常出库","","","","","","0.000000","0.000000","0.000000","KH05636","","","","","","","0.000000","裸包装","0","","0.000000","","2014/7/9 22:31:20","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"13","2e81ee824bc74d50a5792cb8c756b629","0101","CK1407090045","1878835903834ef39d73f6e315ea0b7e","44036775-11","1232207618552","KB1111","上海昕允实业有限公司","KH05636","","","HN皖太远1689140605L","2014/7/9 15:31:37","","正常在库","20","已出库","40","加工成品","018004","带钢","PZ001001030","Q345B","GZ000887","武钢","CD000064","","2.5*BS*1","2.500000","130.000000","1.000000","0.060000","0.060000","0.060000","0.060000","0.060000","0.060000","1.000000","007001                          ","","KH04122","2014/7/9 15:31:37","","0114070382","60","","","0","1","2014/7/9 22:31:18","100060","","","0","1301663","100060","潘华良","","未知","上海昕允实业有限公司","2","2014/7/9 15:31:37","0","","正常出库","","","","","","0.000000","0.000000","0.000000","KH05636","","","","","","","0.000000","裸包装","0","","0.000000","","2014/7/9 22:31:20","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
"14","8795bddf8d394f35b38111f02708d1eb","0101","CK1407090045","3835323858e04019a7d72dec3ffce584","44036774-02","1232207618705","KB1111","上海昕允实业有限公司","KH05636","","","HN皖太远1689140605L","2014/7/9 15:31:37","","正常在库","20","已出库","40","加工成品","018004","带钢","PZ001001030","Q345B","GZ000887","武钢","CD000064","","2.5*130*0","2.500000","130.000000","0.000000","1.983000","1.983000","1.983000","1.983000","1.983000","1.983000","1.000000","007001                          ","","KH04122","2014/7/9 15:31:37","","0114070382","60","","","0","1","2014/7/9 22:31:18","100060","","","0","1301663","100060","潘华良","","未知","上海昕允实业有限公司","2","2014/7/9 15:31:37","0","","正常出库","","","","","","0.000000","0.000000","0.000000","KH05636","","","","","","","0.000000","裸包装","0","","0.000000","","2014/7/9 22:31:20","0","0.000000","0.000000","0.000000","0","","","","","","","","","","","0","","","0","","0","","","",""
