"   ","OWNER_NUM","WPROVIDER_ID","WPROVIDER_DESC","DEPTID","RKMX_NUM","RKZD_NUM","CKMX_NUM","CKZD_NUM"
"1","BB","SHBT01","运输公司一号库","0101","2","0","0","0"
"2","PD","W06","运输公司1号库","0101","480","0","0","0"
"3","TJ","WS1","运输公司","0101","350","0","0","0"
"4","HZ","P00057","运输公司","0101","367","0","0","0"
"5","SY","K00917","运输公司","0101","116","0","0","0"
"6","GZ","CK2","运输公司","0101","582","0","0","0"
"7","BB","SHBT01","运输公司一号库","0101","0","2","0","0"
"8","TJ","WS1","运输公司","0101","0","176","0","0"
"9","HZ","P00057","运输公司","0101","0","241","0","0"
"10","PD","W06","运输公司1号库","0101","0","50","0","0"
"11","SY","K00917","运输公司","0101","0","82","0","0"
"12","GZ","CK2","运输公司","0101","0","101","0","0"
"13","BXG","P00202","运输公司1号库","0101","0","0","0","1"
"14","GZ","CK2","运输公司","0101","0","0","0","33"
"15","HZ","P00057","运输公司","0101","0","0","0","88"
"16","PD","W06","运输公司1号库","0101","0","0","0","57"
"17","SM","P01087","运输公司1号库","0101","0","0","0","1"
"18","SY","K00917","运输公司","0101","0","0","0","45"
"19","TJ","WS1","运输公司","0101","0","0","0","70"
"20","BXG","P00202","运输公司1号库","0101","0","0","2","0"
"21","SM","P01087","运输公司1号库","0101","0","0","2","0"
"22","TJ","WS1","运输公司","0101","0","0","231","0"
"23","HZ","P00057","运输公司","0101","0","0","322","0"
"24","PD","W06","运输公司1号库","0101","0","0","574","0"
"25","SY","K00917","运输公司","0101","0","0","131","0"
"26","GZ","CK2","运输公司","0101","0","0","351","0"
