"   ","OWNER_NUM","WPROVIDER_ID","WPROVIDER_DESC","DEPTID","NETWEIGHT","AVE_WEIGHT","L_DATE","OWNER_ID","CK_WEIGHT","AVE_CKWEIGHT","RKD_COUNT","RK_COUNT","CK_COUNT","CKD_COUNT","STORE_WEIGHT"
"1","GZ","CK2","","0101","2870.112","","","KH00005","","","","595","","",""
"2","SY","K00917","","0101","2284.026","","","KH00499","","","","122","","",""
"3","HZ","P00057","","0101","7106.916","","","KH00132","","","","350","","",""
"4","TJ","WS1","","0101","4820.577","","","KH00002","","","","326","","",""
"5","PD","W06","","0101","3645.037","","","KH00006","","","","431","","",""
"6","GZ","CK2","","0101","","","","KH00005","","","117","","","",""
"7","HZ","P00057","","0101","","","","KH00132","","","230","","","",""
"8","PD","W06","","0101","","","","KH00006","","","47","","","",""
"9","SY","K00917","","0101","","","","KH00499","","","90","","","",""
"10","TJ","WS1","","0101","","","","KH00002","","","163","","","",""
"11","GZ","CK2","","0101","","","","KH00005","","","","","","31",""
"12","HZ","P00057","","0101","","","","KH00132","","","","","","86",""
"13","PD","W06","","0101","","","","KH00006","","","","","","49",""
"14","SM","P01087","","0101","","","","KH00026","","","","","","1",""
"15","SY","K00917","","0101","","","","KH00499","","","","","","44",""
"16","TJ","WS1","","0101","","","","KH00002","","","","","","68",""
"17","SM","P01087","","0101","","","","KH00026","24.62","","","","2","",""
"18","GZ","CK2","","0101","","","","KH00005","1256.637","","","","323","",""
"19","SY","K00917","","0101","","","","KH00499","2154.731","","","","130","",""
"20","HZ","P00057","","0101","","","","KH00132","6488.114","","","","326","",""
"21","TJ","WS1","","0101","","","","KH00002","3466.486","","","","234","",""
"22","PD","W06","","0101","","","","KH00006","3783.455","","","","509","",""
"23","GZ","CK2","","0101","","","","KH00005","","","","","","","719.802"
"24","SY","K00917","","0101","","","","KH00499","","","","","","","158.44"
"25","HZ","P00057","","0101","","","","KH00132","","","","","","","440.192"
"26","TJ","WS1","","0101","","","","KH00002","","","","","","","265.825"
"27","BB","SHBT01","","0101","","","","KH00260","","","","","","","47.79"
"28","PD","W06","","0101","","","","KH00006","","","","","","","33.865"
