"   ","VEHICLES_NO","DEPTID","VEHICLES_TYPE","VEHICLES_WEIGHT","VEHICLES_MEMO","COMPANY_ID","COMPANY_NAME","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG"
"1","’„F33168","0101","","0.00","","","","2014/4/2 9:52:15","100034","","","0",""
"2","À’EG7052","0101","","0.00","","","","2014/3/31 13:14:56","100033","","","0",""
"3","¬≥BS0678","0101","","0.00","","","","2014/3/31 14:07:15","100033","","","0",""
"4","ª¶BK6916","0101","","0.00","","","","2014/3/31 14:16:57","100033","","","0",""
"5","ª¶D61772","0101","","0.00","","","","2014/4/1 20:52:44","100033","","","0",""
"6","ª¶B66120","0101","","0.00","","","","2014/3/31 13:13:14","100033","","","0",""
"7","ª¶BQ7990","0101","","0.00","","","","2014/4/2 9:45:33","100034","","","0",""
"8","ª¶BS8439","0101","","0.00","","","","2014/3/31 17:12:13","100033","","","0",""
"9","À’JH8165","0101","","0.00","","","","2014/3/31 17:46:47","100033","","","0",""
"10","ª¶BL9001","0101","","0.00","","","","2014/4/2 12:37:30","100034","","","0",""
"11","ª¶BT5985","0101","","0.00","","","","2014/3/31 17:15:44","100033","","","0",""
"12","ª¶B53569","0101","","0.00","","","","2014/4/1 16:55:17","100009","","","0",""
"13","À’KL2371","0101","","0.00","","","","2014/4/1 17:24:32","100009","","","0",""
"14","’„D26713","0101","","0.00","","","","2014/4/3 14:08:49","100033","","","0",""
"15","ÕÓS71935","0101","","0.00","","","","2014/4/1 16:20:37","100009","","","0",""
"16","À’NC8638","0101","","0.00","","","","2014/4/2 20:01:26","100009","","","0",""
"17","À’CJ9260","0101","","0.00","","","","2014/3/31 16:03:27","100033","","","0",""
"18","¬≥R06236","0101","","0.00","","","","2014/4/3 15:05:38","100033","","","0",""
"19","’„DK7576","0101","","0.00","","","","2014/3/31 20:00:07","100034","","","0",""
"20","ª¶BG0011","0101","","0.00","","","","2014/4/3 9:43:55","100033","","","0",""
"21","ª¶BE0456","0101","","0.00","","","","2014/4/3 15:14:56","100033","","","0",""
"22","’„AP2532","0101","","0.00","","","","2014/4/3 16:39:47","100033","","","0",""
"23","’„DK9130","0101","","0.00","","","","2014/4/3 17:15:09","100033","","","0",""
"24","ÕÓC34053","0101","","0.00","","","","2014/4/3 17:24:59","100033","","","0",""
"25","ª¶BL3833","0101","","0.00","","","","2014/4/4 14:15:57","100009","","","0",""
"26","’„FL8332","0101","","0.00","","","","2014/4/4 14:34:30","100009","","","0",""
"27","’„LA3335","0101","","0.00","","","","2014/4/4 15:22:47","100009","","","0",""
"28","ª¶B48637","0101","","0.00","","","","2014/3/31 15:27:15","100033","","","0",""
"29","À’CL8921","0101","","0.00","","","","2014/3/31 16:19:27","100033","","","0",""
"30","∏”F59951","0101","","0.00","","","","2014/4/3 13:57:20","100033","","","0",""
"31","ÕÓP16318","0101","","0.00","","","","2014/4/4 11:54:45","100009","","","0",""
"32","’„B8H527","0101","","0.00","","","","2014/4/3 17:08:54","100033","","","0",""
"33","ª¶B43529","0101","","0.00","","","","2014/3/31 17:40:48","100033","","","0",""
"34","ª¶B21785","0101","","0.00","","","","2014/3/31 12:38:01","100033","","","0",""
"35","‘•PZ6872","0101","","0.00","","","","2014/3/31 15:13:25","100033","","","0",""
"36","∏”C81343","0101","","0.00","","","","2014/4/3 18:44:45","100034","","","0",""
"37","’„HE6119","0101","","0.00","","","","2014/4/2 14:21:05","100034","","","0",""
"38","’„L12978","0101","","0.00","","","","2014/3/31 16:56:26","100033","","","0",""
"39","ª¶BL3606","0101","","0.00","","","","2014/3/31 19:37:54","100034","","","0",""
"40","ºΩBN0651","0101","","0.00","","","","2014/4/4 19:26:42","100033","","","0",""
"41","À’JJ2519","0101","","0.00","","","","2014/4/2 16:16:50","100034","","","0",""
"42","ÕÓS2G883","0101","","0.00","","","","2014/4/3 20:29:16","100034","","","0",""
"43","ª¶B73609","0101","","0.00","","","","2014/3/31 20:25:18","100034","","","0",""
"44","’„FL8168","0101","","0.00","","","","2014/4/3 20:21:56","100034","","","0",""
"45","ÕÓC71449","0101","","0.00","","","","2014/4/3 21:30:05","100034","","","0",""
"46","’„HL7713","0101","","0.00","","","","2014/4/3 16:47:32","100033","","","0",""
"47","ª¶D41127","0101","","0.00","","","","2014/4/5 17:12:18","100034","","","0",""
"48","‘•J36276","0101","","0.00","","","","2014/4/13 13:47:57","100009","","","0",""
"49","À’NAK949","0101","","0.00","","","","2014/5/24 16:59:08","100033","","","0",""
"50","’„FD7092","0101","","0.00","","","","2014/5/27 16:31:00","100033","","","0",""
"51","⁄ML06877","0101","","0.00","","","","2014/5/28 13:53:20","100009","","","0",""
"52","¬≥£»£¬£¥£≤£±£π","0101","","0.00","","","","2014/4/23 13:48:08","100034","","","0",""
"53","ª¶D66271","0101","","0.00","","","","2014/4/30 20:11:18","100034","","","0",""
"54","ÕÓS2K882","0101","","0.00","","","","2014/5/14 17:23:24","100034","","","0",""
"55","¬≥HMZ390","0101","","0.00","","","","2014/5/23 22:28:49","100009","","","0",""
"56","¬≥HSK736","0101","","0.00","","","","2014/5/24 12:49:33","100033","","","0",""
"57","ª¶D26659","0101","","0.00","","","","2014/4/11 15:08:57","100034","","","0",""
"58","ª¶BL1752","0101","","0.00","","","","2014/4/13 13:25:28","100003","","","0",""
"59","ª¶B36173","0101","","0.00","","","","2014/4/21 9:38:19","100033","","","0",""
"60","ÕÓLP16117","0101","","0.00","","","","2014/4/21 14:01:14","100033","","","0",""
"61","ª¶B95253","0101","","0.00","","","","2014/5/30 12:47:37","100033","","","0",""
"62","À’JAF608","0101","","0.00","","","","2014/5/31 17:41:13","100009","","","0",""
"63","¬≥P33020","0101","","0.00","","","","2014/5/31 18:54:58","100009","","","0",""
"64","ª¶AS5010","0101","","0.00","","","","2014/6/3 16:05:39","100009","","","0",""
"65","ÕÓP16998","0101","","0.00","","","","2014/4/20 11:57:20","100034","","","0",""
"66","ª¶£¬£≈£∏£∏£µ£π","0101","","0.00","","","","2014/5/26 14:59:21","100034","","","0",""
"67","ª¶D00018","0101","","0.00","","","","2014/5/26 16:58:14","100034","","","0",""
"68","ÕÓS2L241","0101","","0.00","","","","2014/5/27 23:33:25","100034","","","0",""
"69","‘•P36687","0101","","0.00","","","","2014/5/28 23:50:28","100033","","","0",""
"70","‘•E20700","0101","","0.00","","","","2014/5/29 20:24:54","100009","","","0",""
"71","ª¶BG7867","0101","","0.00","","","","2014/4/14 14:07:56","100034","","","0",""
"72","ª¶D27279","0101","","0.00","","","","2014/4/23 11:12:11","100034","","","0",""
"73","ª¶BL8975","0101","","0.00","","","","2014/4/25 16:03:15","100009","","","0",""
"74","ª¶BL3758","0101","","0.00","","","","2014/4/30 18:52:37","100034","","","0",""
"75","ÕÓK16180","0101","","0.00","","","","2014/5/1 12:21:12","100009","","","0",""
"76","¬≥QV2372","0101","","0.00","","","","2014/5/7 18:17:40","100009","","","0",""
"77","ÕÓM93792","0101","","0.00","","","","2014/6/5 19:57:42","100034","","","0",""
"78","ª¶D61846","0101","","0.00","","","","2014/6/5 23:05:26","100034","","","0",""
"79","⁄MG25996","0101","","0.00","","","","2014/6/6 16:28:12","100009","","","0",""
"80","ÕÓC75553","0101","","0.00","","","","2014/6/6 21:46:38","100033","","","0",""
"81","¬≥RB6615","0101","","0.00","","","","2014/6/7 0:11:53","100033","","","0",""
"82","ª¶B79236","0101","","0.00","","","","2014/4/11 23:07:23","100009","","","0",""
"83","ª¶B79318","0101","","0.00","","","","2014/4/22 9:54:06","100009","","","0",""
"84","ª¶BG3683","0101","","0.00","","","","2014/4/22 10:49:50","100009","","","0",""
"85","’„DK9091","0101","","0.00","","","","2014/5/30 12:09:44","100033","","","0",""
"86","ÕÓC18377","0101","","0.00","","","","2014/5/31 11:44:46","100009","","","0",""
"87","‘•N29206","0101","","0.00","","","","2014/6/1 17:40:06","100034","","","0",""
"88","¬≥C97962","0101","","0.00","","","","2014/6/2 16:16:51","100033","","","0",""
"89","l¬≥RD3329","0101","","0.00","","","","2014/6/3 19:20:08","100033","","","0",""
"90","¬≥RK9965","0101","","0.00","","","","2014/6/5 12:22:04","100033","","","0",""
"91","⁄ML07870","0101","","0.00","","","","2014/6/5 12:47:02","100033","","","0",""
"92","ª¶D31260","0101","","0.00","","","","2014/4/30 20:35:38","100034","","","0",""
"93","¬≥RF2236","0101","","0.00","","","","2014/5/4 15:01:29","100009","","","0",""
"94","À’KL1873","0101","","0.00","","","","2014/5/6 15:51:44","100033","","","0",""
"95","’„DK9218","0101","","0.00","","","","2014/6/8 19:26:44","100034","","","0",""
"96","⁄MB13891","0101","","0.00","","","","2014/6/9 13:32:37","100009","","","0",""
"97","¬≥HSL769","0101","","0.00","","","","2014/6/10 14:50:00","100034","","","0",""
"98","⁄ML03937","0101","","0.00","","","","2014/6/12 11:33:32","100009","","","0",""
"99","¬≥QV3903","0101","","0.00","","","","2014/4/7 14:19:58","100009","","","0",""
