"   ","OWNER_NUM","DEPTID","DEPTNAME","SUMDATE","SUMCOUNT","SUMWEIGHT"
"1","GM0","0101","上海宝钢运输有限公司","20130105","15",""
"2","GM0","0101","上海宝钢运输有限公司","20130107","15",""
"3","GM0","0101","上海宝钢运输有限公司","20130106","15",""
"4","GM0","0101","上海宝钢运输有限公司","20130108","15",""
"5","GM0","0101","上海宝钢运输有限公司","20130212","24","172.200000"
"6","GM0","0101","上海宝钢运输有限公司","20130129","38","525.350000"
"7","GM0","0101","上海宝钢运输有限公司","20130314","31","308.640000"
"8","GM0","0101","上海宝钢运输有限公司","20130123","38","525.350000"
"9","GM0","0101","上海宝钢运输有限公司","20130206","24","172.200000"
"10","GM0","0101","上海宝钢运输有限公司","20130208","24","172.200000"
"11","GM0","0101","上海宝钢运输有限公司","20130303","36","400.770000"
"12","GM0","0101","上海宝钢运输有限公司","20130214","24","172.200000"
"13","GM0","0101","上海宝钢运输有限公司","20130201","24","172.200000"
"14","GM0","0101","上海宝钢运输有限公司","20130306","36","400.770000"
"15","GM0","0101","上海宝钢运输有限公司","20130119","38","525.350000"
"16","GM0","0101","上海宝钢运输有限公司","20130205","24","172.200000"
"17","GM0","0101","上海宝钢运输有限公司","20130130","38","525.350000"
"18","GM0","0101","上海宝钢运输有限公司","20130308","36","400.770000"
"19","GM0","0101","上海宝钢运输有限公司","20130211","24","172.200000"
"20","GM0","0101","上海宝钢运输有限公司","20130307","36","400.770000"
"21","GM0","0101","上海宝钢运输有限公司","20130225","36","400.770000"
"22","GM0","0101","上海宝钢运输有限公司","20130320","31","308.640000"
"23","GM0","0101","上海宝钢运输有限公司","20130221","35","382.990000"
"24","GM0","0101","上海宝钢运输有限公司","20130313","31","308.640000"
"25","GM0","0101","上海宝钢运输有限公司","20130220","34","365.060000"
"26","GM0","0101","上海宝钢运输有限公司","20130324","33","346.670000"
"27","GM0","0101","上海宝钢运输有限公司","20130204","24","172.200000"
"28","GM0","0101","上海宝钢运输有限公司","20130330","29","270.090000"
"29","GM0","0101","上海宝钢运输有限公司","20130111","33","433.220000"
"30","GM0","0101","上海宝钢运输有限公司","20130128","38","525.350000"
"31","GM0","0101","上海宝钢运输有限公司","20130329","29","270.090000"
"32","GM0","0101","上海宝钢运输有限公司","20130110","33","433.220000"
"33","GM0","0101","上海宝钢运输有限公司","20130331","29","270.090000"
"34","GM0","0101","上海宝钢运输有限公司","20130222","35","382.990000"
"35","GM0","0101","上海宝钢运输有限公司","20130322","33","346.670000"
"36","GM0","0101","上海宝钢运输有限公司","20130125","38","525.350000"
"37","GM0","0101","上海宝钢运输有限公司","20130227","36","400.770000"
"38","GM0","0101","上海宝钢运输有限公司","20130406","29","270.090000"
"39","GM0","0101","上海宝钢运输有限公司","20130228","36","400.770000"
"40","GM0","0101","上海宝钢运输有限公司","20130319","31","308.640000"
"41","GM0","0101","上海宝钢运输有限公司","20130226","36","400.770000"
"42","GM0","0101","上海宝钢运输有限公司","20130310","36","400.770000"
"43","GM0","0101","上海宝钢运输有限公司","20130207","24","172.200000"
"44","GM0","0101","上海宝钢运输有限公司","20130112","33","433.220000"
"45","GM0","0101","上海宝钢运输有限公司","20130317","31","308.640000"
"46","GM0","0101","上海宝钢运输有限公司","20130326","39","460.270000"
"47","GM0","0101","上海宝钢运输有限公司","20130321","33","346.670000"
"48","GM0","0101","上海宝钢运输有限公司","20130116","33","433.220000"
"49","GM0","0101","上海宝钢运输有限公司","20130114","33","433.220000"
"50","GM0","0101","上海宝钢运输有限公司","20130410","29","270.090000"
"51","GM0","0101","上海宝钢运输有限公司","20130323","33","346.670000"
"52","GM0","0101","上海宝钢运输有限公司","20130209","24","172.200000"
"53","GM0","0101","上海宝钢运输有限公司","20130118","38","525.350000"
"54","GM0","0101","上海宝钢运输有限公司","20130328","29","270.090000"
"55","GM0","0101","上海宝钢运输有限公司","20130127","38","525.350000"
"56","GM0","0101","上海宝钢运输有限公司","20130210","24","172.200000"
"57","GM0","0101","上海宝钢运输有限公司","20130404","29","270.090000"
"58","GM0","0101","上海宝钢运输有限公司","20130124","38","525.350000"
