"   ","AREAKINDNO","AREAKINDNAME","LAYER","KINDNO","R_RECORD_CHANGE_FLAG","DEPTID"
"1","0101","热轧棒(曲轴用钢)","","PZ009024","","0101"
"2","0101","酸洗不锈钢卷","","PZ009028","","0101"
"3","0101","热轧棒(高合金工具钢)","","PZ009076","","0101"
"4","0101","热轧统货","","PZ009069","","0101"
"5","0101","热轧钢板","","PZ002001002","","0101"
"6","0101","直发卷","","PZ001001014","","0101"
"7","0101","平整卷","","PZ009012","","0101"
"8","0101","商品卷","","PZ001001016","","0101"
"9","0101","塑料模具钢","","PZ009040","","0101"
"10","0101","热轧棒(合金结构钢)","","PZ009043","","0101"
"11","0101","锻件用钢板坯","","PZ009022","","0101"
"12","0101","热轧棒钢","","PZ009060","","0101"
"13","0101","热轧卷","","PZ001001010","","0101"
"14","0101","连铸板坯","","PZ004002005","","0101"
"15","0101","热轧板","","PZ002001","","0101"
