"   ","STOCKAREAID","DEPTID","STOCKAREANAME","STOCKTYPEID","STOCKTYPENAME","STOCKFLAG","REMARK","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG"
"1","200802290033","0101","2区","004002","室外","2","","2014/2/7","admin","","","0","0"
"2","200802290034","0101","A区","004002","室外","A","","2014/2/7","admin","","","0","0"
"3","200802290035","0101","B区","004002","室外","B","","2014/2/7","admin","","","0","0"
"4","200802290036","0101","C区","004002","室外","C","","2014/2/7","admin","","","0","0"
"5","200802290037","0101","D区","004002","室外","D","","2014/2/7","admin","","","0","0"
"6","200802290038","0101","E区","004002","室外","E","","2014/2/7","admin","","","0","0"
"7","200802290039","0101","F区","004002","室外","F","","2014/2/7","admin","","","0","0"
"8","200802290040","0101","G区","004002","室外","G","","2014/2/7","admin","","","0","0"
"9","200802290041","0101","H区","004002","室外","H","","2014/2/7","admin","","","0","0"
"10","200802290042","0101","I区","004002","室外","I","","2014/2/7","admin","","","0","0"
"11","200802290043","0101","J区","004002","室外","J","","2014/2/7","admin","","","0","0"
"12","200802290044","0101","K区","004002","室外","K","","2014/2/7","admin","","","0","0"
"13","200802290045","0101","N区","004002","室外","N","","2014/2/7","admin","","","0","0"
"14","200811290033","0101","1区","004001","室内","1","","2014/2/7","admin","","","0","0"
"15","200811290034","0101","5区","004002","室外","5","","2014/2/7","admin","","","0","0"
