"   ","TRUCK_STACK_WORK_NUM","TRANS_COMMISSION_ID","ORDER_NUM","RESOURCE_NUM","SHOPSIGN","THICK_PRODUCT","WIDTH_PRODUCT","LENGTH_PRODUCT","WEIGHT_ACTIVE","N_PACK","TRUCK_NUM","STACK_NUM","ALLOCATE_TIME","DEPT_ID","DEPTID","EXTSYSID","EXTSYSSTACKID","OPTFLAG","PRODUCT_DSCR","PROD_AREA","BATCH_CENTER_ID","CONSIGNEE_NAME","TRANS_INSTRUCTION_ID","PUTIN_DATE","WPROVIDER_NAME","PUTIN_TYPE","CARRIER_CODE","CARRIER_NAME","PLAN_GROSS_WEIGHT","MEASURE_CODE","SOURCE_WPROVIDER_ID","SOURCE_WPROVIDER_NAME","MODIFY_ID","MODIFY_DATE","BILL_ID","MANU_ID","OPERATION_TYPE","IN_WEIGHT","PROC_MARK","CONTRACT_TYPE","TELEOLOGY_FLAG"
"1","TC09080900106003","TC09080900106","TI15090703176","I9E0022392","SPHC","2.75","1015","0","20.16","1","PWL0ZQ","PWL0CC","2009-08-09","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"2","TC09082300002002","TC09082300002","TI15090703177","I9E0022393","SPHC","2.75","1215","0","85.09","4","PWL0ZQ","PWL0CC","2009-08-23","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"3","TC09081900135002","TC09081900135","TI13090700063","I9E0022423","SPHC","4.85","1180","0","19.66","1","PWL0ZQ","PWL0CC","2009-08-19","01","0101","GM0","PWL0CC","0","平整卷","","","","","","","","","","","","","","","","","","","","0","",""
"4","TC09082300002001","TC09082300002","TI15090703177","I9E0022393","SPHC","2.75","1215","0","20.96","1","PWL0ZQ","PWL0CC","2009-08-23","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"5","TC09081900135001","TC09081900135","TI13090700062","I9E0022422","SPHC","4.85","1230","0","23.15","1","PWL0ZQ","PWL0CC","2009-08-19","01","0101","GM0","PWL0CC","0","平整卷","","","","","","","","","","","","","","","","","","","","0","",""
"6","TC09041900067001","TC09041900067","TI15090301568","I9E0009593","SPHE","6","1250","0","23.47","1","PWL0ZQ","PWL0CC","2009-04-19","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"7","TC09083000004002","TC09083000004","TI15090703177","I9E0022393","SPHC","2.75","1215","0","23.2","1","PWL0ZQ","PWL0CC","2009-08-30","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"8","TC09040800003001","TC09040800003","TI15090301434","I9E0009220","SPHE","3.75","1470","0","23.84","1","PWL0ZQ","PWL0CC","2009-04-08","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"9","TC09080900106001","TC09080900106","TI15090703176","I9E0022392","SPHC","2.75","1015","0","21.38","1","PWL0ZQ","PWL0CC","2009-08-09","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"10","TC09081300105001","TC09081300105","TI15090703176","I9E0022392","SPHC","2.75","1015","0","20.58","1","PWL0ZQ","PWL0CC","2009-08-13","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"11","TC09082900091001","TC09082900091","TI15090703177","I9E0022393","SPHC","2.75","1215","0","21.92","1","PWL0ZQ","PWL0CC","2009-08-29","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"12","TC09042000168001","TC09042000168","TI15090301433","I9E0009219","SPHC","5","1600","0","22.21","1","PWL0ZQ","PWL0CC","2009-04-20","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"13","TC09041300003001","TC09041300003","TI15090301568","I9E0009593","SPHE","6","1250","0","45.35","2","PWL0ZQ","PWL0CC","2009-04-13","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"14","TC09082400004001","TC09082400004","TI15090703177","I9E0022393","SPHC","2.75","1215","0","20.98","1","PWL0ZQ","PWL0CC","2009-08-24","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"15","TC09082700005001","TC09082700005","TI15090703177","I9E0022393","SPHC","2.75","1215","0","21.98","1","PWL0ZQ","PWL0CC","2009-08-27","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"16","TC09080900064001","TC09080900064","TI15090703176","I9E0022392","SPHC","2.75","1015","0","39.64","2","PWL0ZQ","PWL0CC","2009-08-09","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"17","TC09041300133001","TC09041300133","TI15090301434","I9E0009220","SPHE","3.75","1470","0","23.71","1","PWL0ZQ","PWL0CC","2009-04-13","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"18","TC09082700005002","TC09082700005","TI15090703177","I9E0022393","SPHC","2.75","1215","0","18.36","1","PWL0ZQ","PWL0CC","2009-08-27","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"19","TC09081700001001","TC09081700001","TI13090700062","I9E0022422","SPHC","4.85","1230","0","22.34","1","PWL0ZQ","PWL0CC","2009-08-17","01","0101","GM0","PWL0CC","0","平整卷","","","","","","","","","","","","","","","","","","","","0","",""
"20","TC09081100002001","TC09081100002","TI15090703176","I9E0022392","SPHC","2.75","1015","0","17.07","1","PWL0ZQ","PWL0CC","2009-08-11","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"21","TC09080900106002","TC09080900106","TI15090703176","I9E0022392","SPHC","2.75","1015","0","19.81","1","PWL0ZQ","PWL0CC","2009-08-09","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"22","TC09083000004001","TC09083000004","TI15090703177","I9E0022393","SPHC","2.75","1215","0","21.82","1","PWL0ZQ","PWL0CC","2009-08-30","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"23","TC09083000123001","TC09083000123","TI13090700064","I9E0022424","SPHC","4.85","1095","0","18.82","1","PWL0ZQ","PWL0CC","2009-08-30","01","0101","GM0","PWL0CC","0","平整卷","","","","","","","","","","","","","","","","","","","","0","",""
"24","TC09042000004001","TC09042000004","TI15090301433","I9E0009219","SPHC","5","1600","0","71.9","3","PWL0ZQ","PWL0CC","2009-04-20","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"25","TC09040100003001","TC09040100003","TI15090301434","I9E0009220","SPHE","3.75","1470","0","20.07","1","PWL0ZQ","PWL0CC","2009-04-01","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
"26","TC09082800268001","TC09082800268","TI15090703177","I9E0022393","SPHC","2.75","1215","0","21.94","1","PWL0ZQ","PWL0CC","2009-08-28","01","0101","GM0","PWL0CC","0","直发卷","","","","","","","","","","","","","","","","","","","","0","",""
