"   ","GUBILLID","DEPTID","GOODSID","GUSTATE","RELEASEDATE","R_RECORD_IS_DELETED","R_RECORD_CREATE_USER","R_RECORD_CREATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_CHANGE_FLAG","PACKNUM","GOODSLOCID","OWNERID","OWNERNAME","MANAGENO","KINDNO","KINDNAME","SHOPSIGNID","SHOPSIGNNAME","GRADENUM","GROSSWEIGHT","NETWEIGHT","SHEETNUM","MEMO","INTERNALCODE"
"1","CWGS","0101","6143508295a447af975352763901d36f","10","","0","admin","2015/7/6 15:41:56","","","","1115014316","FB2122","KH06759","宝山钢铁股份有限公司","I5J0008848","PZ001001010","热轧卷","GZ004040","MHS-3","1.50*1100*C","5.530000","5.530000","1.000000","","ac7f86f2-0acf-44d3-bfb1-de8eb5d8a5db"
"2","CWGS","0101","c4c674bd1dd743ffbfe369b074c03e16","10","","0","admin","2015/6/12 15:25:14","","","","1115011711","FB2341","KH06759","宝山钢铁股份有限公司","I5J0007499","PZ001001010","热轧卷","GZ003659","Q550NH","1.50*1175*C","5.970000","5.970000","1.000000","","fd3dbb40-914b-4928-8b59-34c65021084f"
"3","CWGS","0101","07282bebf0bb4f3d838053bf88123bb3","10","","0","admin","2015/7/6 15:54:41","","","","1115013997","FA1712","KH06759","宝山钢铁股份有限公司","I5J0008810","PZ001001010","热轧卷","GZ004040","MHS-3","1.50*1100*C","10.220000","10.220000","1.000000","","b6f88887-13ff-45ee-bf4f-7a881b6bde4e"
"4","CWGS","0101","7272387b703e4a26808fb8c1fef97a8b","10","","0","admin","2015/6/11 14:35:30","","","","135473876601","HD1141","KH06759","宝山钢铁股份有限公司","I5J0007228","PZ001001010","热轧卷","GZ003059","Q460C","3.02*897*C","17.620000","17.620000","1.000000","","eeb222bd-8529-4f76-a47e-edd56d910972"
"5","CWGS","0101","97251b196f9c4827b76081cdd512b68d","10","","0","admin","2015/7/20 12:48:53","","","","1115010254","FC2452","KH06759","宝山钢铁股份有限公司","I5J0006432","PZ001001010","热轧卷","GZ000180","SS400","2.58*1181*C","5.210000","5.210000","1.000000","","64bb807d-cd09-45a8-9318-130f0a5d856a"
"6","CWGS","0101","e3b98fa2f6914e69948c32910258c8b2","10","","0","admin","2015/7/27 15:36:09","","","","1155008299","EF1112","KH06759","宝山钢铁股份有限公司","I5J0009527","PZ001001010","热轧卷","GZ000895","BS600MC","8.00*1200*C","16.490000","16.490000","1.000000","","81f0d8d3-067a-46b3-87cb-d883cd1d639d"
"7","CWGS","0101","7728180291f44b1e8242c375d3b1adf6","10","","0","admin","2015/7/9 15:01:13","","","","1115014646","FA1621","KH06759","宝山钢铁股份有限公司","I5J0008957","PZ001001010","热轧卷","GZ003659","Q550NH","1.50*1175*C","6.450000","6.450000","1.000000","","d09195b0-e253-4864-9397-95e634aa8013"
"8","CWGS","0101","df677164d090406b8357b429d30bfdea","10","","0","admin","2015/7/13 15:23:24","","","","115583605200","JC1812","KH06759","宝山钢铁股份有限公司","I5J0009118","PZ001001010","热轧卷","GZ004040","MHS-3","6.03*1420*C","22.600000","22.600000","1.000000","","6186732e-61f4-41e9-b349-26291d818749"
"9","CWGS","0101","e1c2ecff375b45848ddb064c9df4718c","10","","0","admin","2015/6/15 14:38:30","","","","1115009803","FA2132","KH06759","宝山钢铁股份有限公司","I5J0007562","PZ001001010","热轧卷","GZ004040","MHS-3","1.50*1100*C","5.040000","5.040000","1.000000","","c41bdcbb-8d4e-4bc4-9d76-808ba8280915"
"10","CWGS","0101","33d6c49ec5ab4b7f9aee71766564f91f","10","","0","admin","2015/6/15 14:39:12","","","","1115011206","FA1542","KH06759","宝山钢铁股份有限公司","I5J0007563","PZ001001010","热轧卷","GZ004040","MHS-3","1.50*1100*C","6.070000","6.070000","1.000000","","296996c9-750b-4257-a2f0-050ec5a705e6"
