"   ","MANAGEID","VALIDATEDATE","VALIDATESTATE","SEG_NO","EBS_BILL_BATCH_ID","BILL_PASSWORD","RESULTMESSAGE","DEPTID","CHECKTYPE","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG","BILL_ID","VALIDATE_USER","OPTFLAG"
"1","96b897b6b59d4361ba1ff72f51b2d7ce","2015/3/13 20:20:18","00","00105101","","061459","0#该提单不存在或者失效！","0101","11","2015/3/13 20:20:18","1919","","","0","0","1503134201","1919",""
"2","7b3fc9f2407b4d17953b1c41cc568387","2014/5/4 13:56:29","00","00105","","710252","0#该提单不存在或者失效！","0101","11","2014/5/4 13:56:29","1818","","","0","0","44930","1818",""
"3","e1a405e6508c44f4bcd619dbd9ce99d8","2014/6/27 15:39:09","00","00105","","679112","0#该提单不存在或者失效！","0101","11","2014/6/27 15:39:09","100002","","","0","0","45170","100002",""
"4","05382f94eb55425ebf4abcce71a044d4","2014/6/27 15:38:51","00","00105","","679112","0#该提单不存在或者失效！","0101","11","2014/6/27 15:38:51","100002","","","0","0","45170","100002",""
"5","9dab703fd1884f22938ef21bd6bf035d","2014/6/27 15:38:59","00","00105","","679112","0#该提单不存在或者失效！","0101","11","2014/6/27 15:38:59","100002","","","0","0","45170","100002",""
"6","a23ade18816d410faec2a511d7cdde03","2014/6/27 15:54:51","00","00105","","548167","0#该提单不存在或者失效！","0101","11","2014/6/27 15:54:51","100003","","","0","0","45350","100003",""
"7","1537cb4aed974aa880d1eddad73434ee","2014/7/2 17:20:44","00","00105","","258395","0#该提单不存在或者失效！","0101","11","2014/7/2 17:20:44","100006","","","0","0","45590","100006",""
"8","2dd5b187962c4dd1ab1786252bbf3665","2014/7/1 16:07:53","00","00105","","189021","0#该提单不存在或者失效！","0101","11","2014/7/1 16:07:53","100003","","","0","0","45592","100003",""
"9","2cd6fb0fb8a545e3b482f45d53e781d3","2014/10/20 13:53:27","00","00105","","975933","0#该提单不存在或者失效！","0101","11","2014/10/20 13:53:27","100003","","","0","0","46391","100003",""
"10","7d2d934697194cebafa0680a00102dee","2014/10/20 13:03:42","00","00105","","975933","0#该提单不存在或者失效！","0101","11","2014/10/20 13:03:42","1818","","","0","0","46391","1818",""
"11","fa5327cfc034466d93250f8f7feb3ffb","2014/12/29 23:28:51","00","00105","","905936","0#该提单不存在或者失效！","0101","11","2014/12/29 23:28:51","100060","","","0","0","46771","100060",""
"12","4657c9c8095d4352a2ce4437cbf42d5e","2015/1/14 13:09:13","00","00105","","074588","0#该提单不存在或者失效！","0101","11","2015/1/14 13:09:13","100002","","","0","0","46911","100002",""
"13","f6b0135c6c294087997502996d308e51","2015/4/27 16:42:04","00","00105","","631991","0#该提单不存在或者失效！","0101","11","2015/4/27 16:42:04","100002","","","0","0","47432","100002",""
"14","7ba082f9f2d54b28bc190f4c325c39e1","2015/6/17 9:05:12","00","00105","","294799","0#该提单不存在或者失效！","0101","11","2015/6/17 9:05:12","100003","","","0","0","47552","100003",""
"15","588a22fa07c0483c9974dd4eb03def88","2015/4/30 12:33:47","00","10000","","494573","0#该提单不存在或者失效！","0101","11","2015/4/30 12:33:47","100006","","","0","0","BGSAB1504291330","100006",""
"16","b6d60a34d3dd4dfa8d84a1129629fc0a","2014/4/10 14:42:12","00","00110","","836254","0#该提单不存在或者失效！","0101","11","2014/4/10 14:42:12","100003","","","0","0","BGSYB1404080556","100003",""
"17","4051f9c10fc24194a85bb1e00e3a122b","2014/7/3 20:49:25","11","00146","TDB1401231250","484003","1#验单成功","0101","22","2014/7/3 20:49:25","100060","","","0","0","DC140102752","100060",""
"18","b9f0f45064be44379ba146389f32517c","2014/3/31 18:57:12","11","00105101","TDB1403312085","109803","1#验单成功","0101","22","2014/3/31 18:57:12","100060","","","0","0","DC140300837","100060",""
"19","c7207a05cdb249198cf8d113a1db4207","2014/3/31 14:56:17","00","00105101","","057912","0#输入参数不正确，请确认！不能仓库验单！","0101","11","2014/3/31 14:56:17","100003","","","0","0","DC140300854","100003",""
