"   ","VLISTPACKID","DEPTID","VEHICLELISTID","GOODSID","PACKNUM","OUTPACKID","OUTBILLNO","OUTBARCODETIME","OUTBARCODEEMPNO","OUTBARCODESTATE","GRADENUM","KINDNAME","KINDNO","SHOPSIGNNAME","SHOPSIGNID","SHEETNUM","MANAGENUM","NETWEIGHT","GROSSWEIGHT","OWNERNAME","OWNERNO","GOODSLOC","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","FOREIGNLISTNO","COLLECTER","COLLECTERNAME","R_RECORD_CHANGE_FLAG","OPERATOR","SCAN","JGPOUNDWEIGHT","PLY","SENDFLAG","PRODSTOVENO","LOCLV1","LOCLV2"
"1","4fbaf02f32fe4ee2b829c1c55ae54037","0101","201404010009","7DDBA9065998442A8ABD6132E938C1A3","18469710200","EFFC6ECC45DF41DB852141B8CB89C889","CK1403070026","2014/3/31 2:33:00","","已匹配","200*1300*L","板坯","PZ004002001","SPCC","GZ000001","1.000000","A4X0000072","21.730000","21.730000","宝山钢铁股份有限公司直属厂部","KH05957","DA141H","2014/4/1 2:34:50","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"2","15a67906c48240beab50ebff544981b1","0101","201404010009","F33C0135CB5949028EEC35B357CCEA2A","18469710300","467998A27D154363A861399D4320AF7A","CK1403070026","2014/3/31 2:33:00","","已匹配","200*1300*L","板坯","PZ004002001","SPCC","GZ000001","1.000000","A4X0000072","21.730000","21.730000","宝山钢铁股份有限公司直属厂部","KH05957","DA141I","2014/4/1 2:34:51","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"3","4631fbb5fa6640e989faa89602735d69","0101","201404010010","FB9DA72BAD63479C9B8F5F36D73AE992","18469710400","BAAE734386B641DEB369AEC36AAF558F","CK1403070026","2014/3/31 2:35:00","","已匹配","200*1300*L","板坯","PZ004002001","SPCC","GZ000001","1.000000","A4X0000072","21.730000","21.730000","宝山钢铁股份有限公司直属厂部","KH05957","DA141G","2014/4/1 2:35:55","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"4","97b800b324ed4776b4324b37c13bec7a","0101","201404010010","E9F238941629418AB7BECD4D1F8AEB96","18471520300","2756F2B0DD9C416FB93512C09FFD7709","CK1403070026","2014/3/31 2:35:00","","已匹配","200*1300*L","板坯","PZ004002001","BLD","GZ000014","1.000000","A4X0000105","21.610000","21.610000","宝山钢铁股份有限公司直属厂部","KH05957","DA141F","2014/4/1 2:35:55","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"5","f98b801fa4d34ae79abac9a0bbc026fb","0101","201404040001","78BBBFD434AE4E6CA03FC69F548B0DB2","18470620100","D8ECD50B50894A609E756F15DED98647","CK1403070026","2014/4/4 0:34:00","","已匹配","200*1350*L","板坯","PZ004002001","DC04","GZ000270","1.000000","A4X0000087","21.890000","21.890000","宝山钢铁股份有限公司直属厂部","KH05957","DC151H","2014/4/4 0:29:46","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"6","04357f6c68904c9bb378b6712c3b7de8","0101","201404040002","A0B2EB94423C4209822A3356EBDD7163","18469710700","E26141777323424D9AC3F2FEF4C7BA46","CK1403070026","2014/4/4 0:35:00","","已匹配","200*1300*L","板坯","PZ004002001","SPCC","GZ000001","1.000000","A4X0000072","21.730000","21.730000","宝山钢铁股份有限公司直属厂部","KH05957","DC151I","2014/4/4 0:30:32","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"7","10418a1358364f63901ff6770fdb3c39","0101","201404040002","085D3AA8EB5E4C53ABDE33936D040CF4","18469810400","05C94D8818B04677AF7DA1EF90D568C5","CK1403070026","2014/4/4 0:35:00","","已匹配","200*1300*L","板坯","PZ004002001","SPCC","GZ000001","1.000000","A4X0000072","21.730000","21.730000","宝山钢铁股份有限公司直属厂部","KH05957","DC114D","2014/4/4 0:30:32","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"8","d7926b4cee2a43acb853bdb3cd5083f9","0101","201404010003","BE1309D53F584667939F714036DB2E67","18470520700","A935ED9C5C0544E99D9D7E9822D03192","CK1403070026","2014/3/31 0:32:00","","已匹配","200*1350*L","板坯","PZ004002001","DC04","GZ000270","1.000000","A4X0000087","21.890000","21.890000","宝山钢铁股份有限公司直属厂部","KH05957","S1111","2014/4/1 0:32:13","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"9","2ede088fe25b4b5bb0287556e8aa3afd","0101","201404010003","D9936513F39E48AFB38CBBAFF5B6FB54","18470520500","F868AE85864B4748A5F72B7195B8BEAD","CK1403070026","2014/3/31 0:32:00","","已匹配","200*1350*L","板坯","PZ004002001","DC04","GZ000270","1.000000","A4X0000087","21.890000","21.890000","宝山钢铁股份有限公司直属厂部","KH05957","S1111","2014/4/1 0:32:13","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"10","b8fa476d9f17401595b0cff177b8d7f2","0101","201404010003","F51D72E9A29D48FE8FBF829AE9545529","18469710600","1B86D563CBB848A6B81E56B0C3F34333","CK1403070026","2014/3/31 0:32:00","","已匹配","200*1300*L","板坯","PZ004002001","SPCC","GZ000001","1.000000","A4X0000072","21.750000","21.750000","宝山钢铁股份有限公司直属厂部","KH05957","S1111","2014/4/1 0:32:13","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"11","31b58c7ee98e4a92889ec76c089ecc69","0101","201404010003","95A500C77C5A4DBE89F25616CE8A1A1C","18470520600","B062CD3FD6DC45D886598220AB0F6447","CK1403070026","2014/3/31 0:32:00","","已匹配","200*1350*L","板坯","PZ004002001","DC04","GZ000270","1.000000","A4X0000087","21.890000","21.890000","宝山钢铁股份有限公司直属厂部","KH05957","S1111","2014/4/1 0:32:13","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"12","a486d353909f4b36b3f4cfc0f624bc8e","0101","201404010008","20E6A637DBE94D369063A3598F69F517","18471520100","FD7CB5D9E58F45A59E8431C00AACE6F8","CK1403070026","2014/3/31 2:26:00","","已匹配","200*1300*L","板坯","PZ004002001","BLD","GZ000014","1.000000","A4X0000105","21.680000","21.680000","宝山钢铁股份有限公司直属厂部","KH05957","DA141E","2014/4/1 2:26:47","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"13","68e488036dab4c8b9f61753615463d82","0101","201404010004","757443B84C5148D99673D1E8A4A5CF7E","18472020700","CCF24151B9B84DB1BC0217DF5B5F8566","CK1403070026","2014/3/31 1:29:00","","已匹配","200*1300*L","板坯","PZ004002001","BLD","GZ000014","1.000000","A4X0000105","21.780000","21.780000","宝山钢铁股份有限公司直属厂部","KH05957","DA1613","2014/4/1 1:30:03","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"14","3e4ef9c69e1544d59651ff71266a8945","0101","201404010004","61A8E94BEFED40B1884D573A77E812A4","18472020600","096DE7CFF13C4708BA2864DC539B2AB6","CK1403070026","2014/3/31 1:29:00","","已匹配","200*1300*L","板坯","PZ004002001","BLD","GZ000014","1.000000","A4X0000105","21.800000","21.800000","宝山钢铁股份有限公司直属厂部","KH05957","DA1612","2014/4/1 1:30:03","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"15","5e3b313a330642809de03cbb2e93bbef","0101","201404010004","7E42F35B52EA451D973A8F570C4D271B","18472020500","046537256B1549C685E0DE0AC4C44D6A","CK1403070026","2014/3/31 1:29:00","","已匹配","200*1300*L","板坯","PZ004002001","BLD","GZ000014","1.000000","A4X0000105","21.600000","21.600000","宝山钢铁股份有限公司直属厂部","KH05957","DA1161","2014/4/1 1:30:03","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
"16","73af9e619a754f6ea9cc7c3285e63c5b","0101","201404010014","BF1F99009EFA46919381978043A02207","18471420500","B73AB5FE586B4760BEAF0545D3937797","CK1403070026","2014/3/31 3:46:00","","已匹配","200*1300*L","板坯","PZ004002001","BLD","GZ000014","1.000000","A4X0000105","21.720000","21.720000","宝山钢铁股份有限公司直属厂部","KH05957","DC121B","2014/4/1 3:46:49","100034","","","0","20140307","","","0","候宪丽","","0.000000","0","","","",""
