"   ","PROCARTICLEDTLID","DEPTID","PROCESSID","PACKNUM","BARCODE","GOODSLOCID","OWNERID","OWNERNAME","GOODSOWNERMANAGENO","GOODSOWNERPACKNO","MANAGENO","FEEBEGINDATE","CONTRACTID","GOODSSTATENO","GOODSSTATENAME","CHANGEOWNERTIMES","GOODSTYPE","GOODSTYPENAME","KINDNO","KINDNAME","SHOPSIGNID","SHOPSIGNNAME","PRODAREAID","PRODAREANAME","GOODSBATCHNO","PRODSTOVENO","GRADENUM","GRADENUMTHICK","GRADENUMWIDTH","GRADENUMLENGTH","GROSSWEIGHT","NETWEIGHT","POUNDWEIGHT","CHECKWEIGHT","SHEETNUM","PACKTYPE","PACKTYPENAME","UNIT","QUALITYMEMO","FIRSTINOWNERID","FIRSTINDATE","PRINTFLAG","QUALITY","QAMEMBER","QAFLAG","PROCESSQUALITYID","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","ORDERBY","R_RECORD_CHANGE_FLAG","INSTRUCTION_ID","SENDFLAG","ACCEPTANCE_TIMES","ACCEPTANCER","ACCEPTANCE_TIME","SKINWEIGHT","CYYWEIGHT","GOODSID","ARTICLEMEMO1","ARTICLEMEMO2","ARTICLEMEMO3","ARTICLEMEMO4","ARTICLEMEMO5","ARTICLEMEMO6","ARTICLEMEMO7","ARTICLEMEMO8","ARTICLEMEMO9","ARTICLEMEMO10","ARTICLEYS","CUSTOMERID","CBXJGTYPE","WALLWIDTH","WOODTYPE","WOODTYPENAME","CHANXIAN","DRAWNO","ZCFLAG","CLASSGROUP","LOCLV1","LOCLV2"
"1","162cc2b5b16d4259bed24cc5eca026bf","0101","0114121291","4B300230-01","1231208173371","KB1111","KH05524","上海财广物资有限公司","","","JFJS20141223A","2014/12/24 7:37:49","","130","已验收","2","018004","加工成品","PZ006004001","开平板","GZ003230","Grade 33","CD000229","","","","1.5*1260*2500","1.500000","1260.000000","2500.000000","4.180000","4.180000","4.180000","4.180000","115.000000","007001                          ","裸包装","","","KH03577","2014/12/29 20:25:22","0","","潘华良","1","","2014/12/29 16:00:09","100006","2014/12/29 20:25:41","100060","0","0","0","","0","1","潘华良","2014/12/29 20:25:22","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"2","467e5f9c7f024ebfbd358604155aacce","0101","0114121252","D141129965D-02","1231208173229","KN1111","KH00295","上海天骄钢铁物资有限公司","","","SXJM梅山岗17141218ZB","2014/12/20 7:40:58","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","6*1500*2500","6.000000","1500.000000","2500.000000","7.440000","7.440000","7.440000","7.440000","42.000000","007001                          ","裸包装","","","KH04647","2014/12/29 12:14:01","0","","肖燕","1","","2014/12/29 12:15:25","100006","","","0","0","0","","0","1","肖燕","2014/12/29 12:14:01","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"3","79858bbd177f4c41906372a80ff50a13","0101","0114121252","D141129965D-03","1231208173169","KN1111","KH00295","上海天骄钢铁物资有限公司","","","SXJM梅山岗17141218ZB","2014/12/20 7:40:58","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","6*1500*2500","6.000000","1500.000000","2500.000000","7.440000","7.440000","7.440000","7.440000","42.000000","007001                          ","裸包装","","","KH04647","2014/12/29 12:14:01","0","","肖燕","1","","2014/12/29 12:15:25","100006","","","0","0","0","","0","1","肖燕","2014/12/29 12:14:01","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"4","639b0e2e0d65443585e83f272e6438b0","0101","0114121252","D141129965D-04","1231208173170","KN1111","KH00295","上海天骄钢铁物资有限公司","","","SXJM梅山岗17141218ZB","2014/12/20 7:40:58","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","6*1500*810+250","6.000000","1500.000000","2500.000000","0.080000","0.080000","0.080000","0.080000","2.000000","007001                          ","裸包装","","","KH04647","2014/12/29 12:14:01","0","","肖燕","1","","2014/12/29 12:15:25","100006","","","0","0","0","","0","1","肖燕","2014/12/29 12:14:01","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"5","f0918bc99ef847858f69f62583e9a437","0101","0114121252","D141129983D-02","1231208173159","KN1111","KH00295","上海天骄钢铁物资有限公司","","","SXJM梅山岗17141218ZB","2014/12/19 9:00:55","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","6*1500*2500","6.000000","1500.000000","2500.000000","7.440000","7.440000","7.440000","7.440000","42.000000","007001                          ","裸包装","","","KH04647","2014/12/29 12:14:01","0","","肖燕","1","","2014/12/29 12:15:25","100006","","","0","1","0","","0","1","肖燕","2014/12/29 12:14:01","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"6","9cf3323d2ef84b12bf54afca343383d3","0101","0114121252","D141129983D-03","1231208173160","KN1111","KH00295","上海天骄钢铁物资有限公司","","","SXJM梅山岗17141218ZB","2014/12/19 9:00:55","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","6*1500*2500","6.000000","1500.000000","2500.000000","7.440000","7.440000","7.440000","7.440000","42.000000","007001                          ","裸包装","","","KH04647","2014/12/29 12:14:01","0","","肖燕","1","","2014/12/29 12:15:25","100006","","","0","1","0","","0","1","肖燕","2014/12/29 12:14:01","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"7","64d8c737786948599535041648304012","0101","0114121252","D141129983D-04","1231208173161","KN1111","KH00295","上海天骄钢铁物资有限公司","","","SXJM梅山岗17141218ZB","2014/12/19 9:00:55","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","6*1500*380+750","6.000000","1500.000000","2500.000000","0.080000","0.080000","0.080000","0.080000","2.000000","007001                          ","裸包装","","","KH04647","2014/12/29 12:14:01","0","","肖燕","1","","2014/12/29 12:15:25","100006","","","0","1","0","","0","1","肖燕","2014/12/29 12:14:01","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"8","ff1b266d968b466aa6ff15d1fa5effa1","0101","0114121270","D140328446D-01","1231208173366","KB1111","KH00169","上海巨盈实业有限公司","","","SXJM康瑞86140414G","2014/4/14 9:41:08","","130","已验收","1","018004","加工成品","PZ006004001","开平板","GZ000005","SPHC","CD000057","","","","2.5*1250*3000","2.500000","1250.000000","3000.000000","4.840000","4.840000","4.840000","4.840000","66.000000","007001                          ","裸包装","","","KH04647","2014/12/30 10:15:31","0","","顾陆萍","1","","2014/12/29 13:00:41","1818","2014/12/30 10:17:20","100002","0","0","0","","0","1","顾陆萍","2014/12/30 10:15:31","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"9","7690f77b76a24d2dbc75b6fd7a68742a","0101","0114121270","D140328421D-01","1231208173435","KB1111","KH00169","上海巨盈实业有限公司","","","SXJM康瑞86140414G","2014/4/14 9:41:08","","130","已验收","1","018004","加工成品","PZ006004001","开平板","GZ000005","SPHC","CD000057","","","","2.5*1250*3000","2.500000","1250.000000","3000.000000","4.925000","4.925000","4.925000","4.925000","67.000000","007001                          ","裸包装","","","KH04647","2014/12/30 10:15:31","0","","顾陆萍","1","","2014/12/29 13:00:41","1818","2014/12/30 10:17:20","100002","0","1","0","","0","1","顾陆萍","2014/12/30 10:15:31","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"10","6c331a211acd4ce8bf8e9728a8b9d755","0101","0114121270","D140328456D-01","1231208173430","KB1111","KH00169","上海巨盈实业有限公司","","","SXJM康瑞86140414G","2014/4/14 9:41:08","","130","已验收","1","018004","加工成品","PZ006004001","开平板","GZ000005","SPHC","CD000057","","","","2.5*1250*3000","2.500000","1250.000000","3000.000000","4.920000","4.920000","4.920000","4.920000","67.000000","007001                          ","裸包装","","","KH04647","2014/12/30 10:15:31","0","","顾陆萍","1","","2014/12/29 13:00:41","1818","2014/12/30 10:17:20","100002","0","2","0","","0","1","顾陆萍","2014/12/30 10:15:31","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
