"   ","PROCESSID","PROCTYPE","PROCMATERIALDTLID","PROCARTICLEDTLID","GOODSID","PACKNUM","NETWEIGHT","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","DEPTID","R_RECORD_CHANGE_FLAG","SHEETNUM","GRADENUM"
"1","0114030605","加工                  ","6446660452ae49bdb9e1cd94611ba85f","6b5efeefcd104313b799f0ef61aadd9f","270C9EBE7EA849DA99C4B3D122185467","114181702100-01","28.3200","2014/3/31 11:19:39","100006","","","0","0101","0","1.0000","8*1800*0"
"2","0114030605","加工                  ","99b4012017f54ccc9e4fa8e83b563b17","be7c69fb5dcf4937afe04d1e7b1f15ef","41C1F720959A46488F93DAEECB9CAA59","114161502000-01","29.2200","2014/3/31 11:19:39","100006","","","0","0101","0","1.0000","8*1800*0"
"3","0114030606","加工                  ","4738a9af719644cbaf63fbb255ea11e4","b7349d85514942199152fec4f142e378","CAE0F921039F4728B6E303065AA55F2E","114161503800-01","28.1800","2014/3/31 11:20:51","100006","","","0","0101","0","1.0000","12*1800*0"
"4","0114030607","加工                  ","5a16cd31ccf042308fbcfde10e8ba6fe","702a11f36ca14c02bbcc90ac915bbad5","0BBA541258E04C498313BB7E3F543FA5","114161502200-01","30.3000","2014/3/31 11:22:27","100006","","","0","0101","0","1.0000","10*1800*0"
"5","0114030608","加工                  ","96aed81c4b0a411aa423ae2133cd0a99","c7ba82df6d504369a13a3204f0ec26db","061F33CB6A7E4601AD9E046824C69A26","114286504300-01","29.6600","2014/3/31 11:25:57","100006","","","0","0101","0","1.0000","6*1500*C"
"6","0114030609","加工                  ","e2a7f95ce00d47bbbd1b38911be9fe1d","10ee1d3bbaec4b059360b26e462a441b","51BE219996CD4D3F8286A47238F4B7F7","87759700200-01","19.6400","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"7","0114030609","加工                  ","c39213302ea84311981b43a0282a91e6","2278cfea97a349d88b8a50a2a8675ce1","C709D4EF68DD4A5D9D32FDBFEB42B3B9","87751702600-01","19.4900","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"8","0114030609","加工                  ","45eae05ef06a423487e9ac5402c15342","7d9694c4e39f42dd836dd4c22722dbbb","AB08C6E790824818A56B1D44345497B9","87798700200-01","18.6300","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"9","0114030609","加工                  ","37174dcc349d4ce599c6f9b07c964a80","f60808cd1de0491c95a9820e0077621f","E075EB575F1C44BDA64D3A295A824517","87751703700-01","19.5300","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"10","0114030609","加工                  ","12cf49997b3049349f6c8952675d56de","6b1bc2ff6a0843d3ace0be65dfa076a3","54A1BF7B74FC42C3A326B60A85578CF5","87751702500-01","19.5000","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
