"   ","PROCMATERIALDTLID","DEPTID","PROCESSID","PACKNUM","GOODSID","BARCODE","GOODSLOCID","OWNERID","OWNERNAME","GOODSOWNERMANAGENO","GOODSOWNERPACKNO","MANAGENO","FEEBEGINDATE","CONTRACTID","GOODSSTATENO","GOODSSTATENAME","CHANGEOWNERTIMES","GOODSTYPE","GOODSTYPENAME","KINDNO","KINDNAME","SHOPSIGNID","SHOPSIGNNAME","PRODAREAID","PRODAREANAME","GOODSBATCHNO","PRODSTOVENO","GRADENUM","GRADENUMTHICK","GRADENUMWIDTH","GRADENUMLENGTH","GROSSWEIGHT","NETWEIGHT","POUNDWEIGHT","CHECKWEIGHT","SHEETNUM","PACKTYPE","PACKTYPENAME","UNIT","QUALITYMEMO","FIRSTINOWNERID","FIRSTINDATE","INBILLID","INTYPE","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","ORDERBY","R_RECORD_CHANGE_FLAG","SHOPSIGNCD","CUSTOMERID","CHANXIAN","PLY","MEMO","JYZXFLAG","LOCLV1","LOCLV2","SPECIALMEMO"
"1","4418352400134be1a9369eb5ac9dd8ac","0101","0114060832","A140605672S","49b5f0b63096440a97c14effffc38dc8","1232207999507","IB1471","KH00017","上海万通贸易有限公司","","","SXJM锦江河20140617Y","2014/6/16 13:47:00","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","3*1500*0","3.000000","1500.000000","0.000000","28.700000","28.700000","28.700000","28.700000","1.000000","","","","","KH04647","2014/6/17 10:40:05","RK1406170024","70","2014/6/19 15:04:16","100006","","","0","0","0","","","","0","","","","",""
"2","6acd4b3a8ea6431dae4ca9b9851a8d2b","0101","0115041229","150328973S","8eb293290190402f997aba237516d1f3","1232207919840","IB2443","KH00017","上海万通贸易有限公司","","","SXJM宝迪隆6150407ZD","2015/4/7 7:10:37","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","4*1250*0","4.000000","1250.000000","0.000000","19.580000","19.580000","19.580000","19.580000","1.000000","","","","","KH04647","2015/4/8 9:51:54","RK1504080054","70","2015/4/30 16:23:28","100006","","","0","0","0","","","","0","","0","","",""
"3","bfc41bfa972749be9ac4b6cea7fb3394","0101","0114070224","D140616386D","813101f208524a46baae1c7f0807840a","1232207907069","DE1352","KH00017","上海万通贸易有限公司","","","MXD兴宁7720140702P","2014/7/1 23:32:00","","110","加工完成","3","018001","普通货物","PZ001001004","热卷","GZ000419","Q235B","CD000057","本钢","","","3*1500*0","3.000000","1500.000000","0.000000","22.510000","22.510000","22.510000","22.510000","1.000000","","","","","KH01528","2014/7/2 10:43:40","RK1407020044","70","2014/7/4 19:59:43","1919","","","0","0","0","","","","0","","","","",""
"4","9ada83b6c2524219aa2b8d4721237dda","0101","0114101267","140434173S","6d4944a679f24b24a07228629525af2b","1232207978342","GA1371","KH00017","上海万通贸易有限公司","","","SXJM梅山岗1714509ZD","2014/5/12 10:45:35","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","4*1250*0","4.000000","1250.000000","0.000000","19.580000","19.580000","19.580000","19.580000","1.000000","","","","","KH04647","2014/5/12 10:45:35","RK1405120032","70","2014/10/31 14:39:47","100006","","","0","0","0","","","","0","","","","",""
"5","86d244937aae4283b62bd131429f1048","0101","0114121130","D141127911D","6c7a0a5fb04f4df086edd3051fc3b9cd","1232207100996","IB1561","KH00017","上海万通贸易有限公司","","","SXJM梅山岗17141218Q","2014/12/19 7:20:34","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","4*1500*0","4.000000","1500.000000","0.000000","22.310000","22.310000","22.310000","22.310000","1.000000","","","","","KH04647","2014/12/19 9:14:13","RK1412190016","70","2014/12/25 15:50:03","1818","","","0","0","0","","","","0","","0","","",""
"6","b83755f861df46afaf4dbd417b78ea1f","0101","0114110109","A140958613S","ddea3a98b5e24e1eb5e3ecb874b95b4e","1232207175772","DE2822","KH00017","上海万通贸易有限公司","","","SXJM万轮达18141103S","2014/11/4 7:29:31","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","5*1250*0","5.000000","1250.000000","0.000000","19.480000","19.480000","19.480000","19.480000","1.000000","","","","","KH04647","2014/11/4 9:26:41","RK1411040017","70","2014/11/4 10:53:11","100006","","","0","0","0","","","","0","","","","",""
"7","a3b625d0985740c2aca737e69cf5fe2b","0101","0115060050","1155003390","aacd787264704e69a3112cbe16b83ed7","1155003390","CA1112","KH00022","靖江市远东金属材料有限公司","TI15150200003","1155003390","I5F0000215","2015/3/27 18:06:12","TI15150200003","110","加工完成","1","018001","普通货物","PZ001001014","直发卷","GZ001993","30CrMo","CD000002","宝钢","","15142627","4.2*1060*C","4.200000","1060.000000","0.000000","19.795000","19.795000","19.795000","19.795000","1.000000","","","","","KH04960","2015/3/27 18:57:39","RK1503270055","70","2015/6/2 10:59:20","100006","","","0","0","0","","","","0","","0","","",""
"8","f492635a019645229590b55e51cac26f","0101","0115010717","D141224801D","bb11a0021e6245d2acc1f33e7b166117","1232207121359","CF1432","KH00028","上海宝顺昌国际贸易有限公司","","","SXJM华顺达16820150111G","2015/1/11 7:40:18","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000419","Q235B","CD000057","本钢","","","5*1500*0","5.000000","1500.000000","0.000000","21.980000","21.980000","21.980000","21.980000","1.000000","","","","","KH04647","2015/1/11 16:52:04","RK1501110010","70","2015/1/20 16:09:23","100006","","","0","0","0","","","","0","","0","","",""
"9","86805cc2d47041d4bd6238178e943a5c","0101","0114090708","D140716321D","b4bf2de3eebd4b6288a85ea421f1a693","1232207929771","DA1412","KH00028","上海宝顺昌国际贸易有限公司","","","MXD银大614812N","2014/8/13 19:38:00","","110","加工完成","3","018001","普通货物","PZ001001004","热卷","GZ000419","Q235B","CD000057","本钢","","","3*1500*0","3.000000","1500.000000","0.000000","22.540000","22.540000","22.540000","22.540000","1.000000","","","","","KH01528","2014/8/14 9:45:32","RK1408140015","70","2014/9/16 9:49:38","100006","","","0","0","0","","","","0","","","","",""
"10","cf121dfaa53940a18a3253c48e4aef39","0101","0114090707","D140716292D","8e34f091ff6c4e00b6e7521bfd307c11","1232207920853","DC1452","KH00028","上海宝顺昌国际贸易有限公司","","","MXD银大614812N","2014/8/12 23:36:00","","110","加工完成","3","018001","普通货物","PZ001001004","热卷","GZ000419","Q235B","CD000057","本钢","","","3*1500*0","3.000000","1500.000000","0.000000","20.170000","20.170000","20.170000","20.170000","1.000000","","","","","KH01528","2014/8/13 11:09:49","RK1408130020","70","2014/9/16 9:48:50","100006","","","0","0","0","","","","0","","","","",""
