"   ","MANAGENO","DEPTID","SETTLENO","SETTLECD","GOODSID","PACKNUM","NODE","NODENAME","BUSINESSTYPE","BUSINESSTYPENAME","BUSINESSNO","FEETYPE","FEETYPENAME","SETTLEFORMULA","COUNTUNIT","SETTLENUM","SETTLESUM","UNIT","WEIGHT","GROSSWEIGHT","GENERATEDATE","PRICENO","STATE","DEPTNO","DEPTNAME","OWNERNO","OWNERNAME","RESOURCENO","PREGOODSID","MEMO","SENDFLAG","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","INVOICEKINDID","INVOICEKINDNAME","R_RECORD_CHANGE_FLAG","SETTLE_CONTRACT_ID","SETTLE_CONTRACT_NO","SUB_BIZ_TYPE_ID","SUB_BIZ_TYPE_NAME","FIRST_IN_DATE","OUT_STORE_DATE","FREE_DAYS","RECEIVE_FEE","JGBUSINESSNO","PAYTYPE","BILLEMPNAME","FIRSTCOUNTUNIT","ADDFEELINK","SETTLELOCK","JYZXFLAG","FOREIGNLISTNO","YTS","MTS","DIRECTION","SETTLESUMUSED","SETTLEDEPTNAME","KPAMOUNT","USERNAME","SETTLESUMTAX","SETTLESUMNOTAX","CBCOUNTUNIT","CBSETTLESUM","DTLINVOICENO","INVOICENODATE","DTLINVOICETYPENAME"
"1","14659dc8c34f4bf3b94cde8b3a7bb17d","0101","c0a38e4b257f4e93b9f3a5653608fc40","1403310001","83BC621D206F4B5E928639C056966EF4","41103915-01","2","出库","002","出库","CK1403310001","001002","出库吊装费","4.9680*18","18.0000","4.9680","89.4240","元/吨","4.9680","4.9680","2014/3/31 11:20:15","E172DB0A29F74A56AD59656A07837EF2","1","KH02655","浙江宏厚贸易有限公司","KH02655","浙江宏厚贸易有限公司","HHMY富海3820140118B","83BC621D206F4B5E928639C056966EF4","","0","2014/3/31 11:20:19","100002","2014/3/31 11:20:43","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"2","b318be66cf3946a799d6af489889eeae","0101","c0a38e4b257f4e93b9f3a5653608fc40","1403310001","58FA1841821F4BAD858EA745B9FA27D5","41103915-02","2","出库","002","出库","CK1403310001","001002","出库吊装费","4.9680*18","18.0000","4.9680","89.4240","元/吨","4.9680","4.9680","2014/3/31 11:20:15","E172DB0A29F74A56AD59656A07837EF2","1","KH02655","浙江宏厚贸易有限公司","KH02655","浙江宏厚贸易有限公司","HHMY富海3820140118B","58FA1841821F4BAD858EA745B9FA27D5","","0","2014/3/31 11:20:19","100002","2014/3/31 11:20:43","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"3","0803186d67e24b68adf41e5ac050d409","0101","c0a38e4b257f4e93b9f3a5653608fc40","1403310001","F4C6B6CA86474686A533F14D08E76383","41103915-03","2","出库","002","出库","CK1403310001","001002","出库吊装费","4.9680*18","18.0000","4.9680","89.4240","元/吨","4.9680","4.9680","2014/3/31 11:20:15","E172DB0A29F74A56AD59656A07837EF2","1","KH02655","浙江宏厚贸易有限公司","KH02655","浙江宏厚贸易有限公司","HHMY富海3820140118B","F4C6B6CA86474686A533F14D08E76383","","0","2014/3/31 11:20:19","100002","2014/3/31 11:20:43","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"4","f7345f8960f54d07a6fefb3d19ad2887","0101","c0a38e4b257f4e93b9f3a5653608fc40","1403310001","DB66E3BC9A5C472FB16DA260CEC14C1E","41103915-04","2","出库","002","出库","CK1403310001","001002","出库吊装费","4.9680*18","18.0000","4.9680","89.4240","元/吨","4.9680","4.9680","2014/3/31 11:20:15","E172DB0A29F74A56AD59656A07837EF2","1","KH02655","浙江宏厚贸易有限公司","KH02655","浙江宏厚贸易有限公司","HHMY富海3820140118B","DB66E3BC9A5C472FB16DA260CEC14C1E","","0","2014/3/31 11:20:19","100002","2014/3/31 11:20:43","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"5","3bf29a11845944e19871446b9ebe85ee","0101","c0a38e4b257f4e93b9f3a5653608fc40","1403310001","3C88B434DF6845578E67BEFF793F3153","41103915-05","2","出库","002","出库","CK1403310001","001002","出库吊装费","4.9680*18","18.0000","4.9680","89.4240","元/吨","4.9680","4.9680","2014/3/31 11:20:15","E172DB0A29F74A56AD59656A07837EF2","1","KH02655","浙江宏厚贸易有限公司","KH02655","浙江宏厚贸易有限公司","HHMY富海3820140118B","3C88B434DF6845578E67BEFF793F3153","","0","2014/3/31 11:20:19","100002","2014/3/31 11:20:43","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"6","2e76ed0504ac46498f0d908ed88d6777","0101","c0a38e4b257f4e93b9f3a5653608fc40","1403310001","1914DF3E2056442C99FBB7730FDEC37E","41103915-06","2","出库","002","出库","CK1403310001","001002","出库吊装费","2.3630*18","18.0000","2.3630","42.5340","元/吨","2.3630","2.3630","2014/3/31 11:20:15","E172DB0A29F74A56AD59656A07837EF2","1","KH02655","浙江宏厚贸易有限公司","KH02655","浙江宏厚贸易有限公司","HHMY富海3820140118B","1914DF3E2056442C99FBB7730FDEC37E","","0","2014/3/31 11:20:19","100002","2014/3/31 11:20:43","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"7","ff4716b103bd4142984112953fc5597c","0101","c0a38e4b257f4e93b9f3a5653608fc40","1403310001","44A717CF2D0D4FA79132330D11F11F7E","41103915-07","2","出库","002","出库","CK1403310001","001002","出库吊装费","0.4590*18","18.0000","0.4590","8.2620","元/吨","0.4590","0.4590","2014/3/31 11:20:15","E172DB0A29F74A56AD59656A07837EF2","1","KH02655","浙江宏厚贸易有限公司","KH02655","浙江宏厚贸易有限公司","HHMY富海3820140118B","44A717CF2D0D4FA79132330D11F11F7E","","0","2014/3/31 11:20:19","100002","2014/3/31 11:20:43","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"8","000f057793fd40d596e3f03baf125e49","0101","cc0f0d8c669f4ba6a0a1eb67debd8268","1403310002","1914DF3E2056442C99FBB7730FDEC37E","41103915-06","2","出库","002","出库","CK1403310001","001004","加工费","2.3630*25","25.0000","2.3630","59.0750","元/吨","2.3630","2.3630","2014/3/31 11:35:33","f8184bbf565a4603a8a7326998f39993","1","KH02655","浙江宏厚贸易有限公司","KH02655","浙江宏厚贸易有限公司","HHMY富海3820140118B","1914DF3E2056442C99FBB7730FDEC37E","","0","2014/3/31 11:35:40","100002","2014/3/31 11:35:55","100002","0","014002","现结","0","","","","","","","0","0.00","","","","25.0000","","","0","","0","0","","","","","","","","","","","",""
"9","2e9a316522fe4838a2c80a2083877a1a","0101","cc0f0d8c669f4ba6a0a1eb67debd8268","1403310002","44A717CF2D0D4FA79132330D11F11F7E","41103915-07","2","出库","002","出库","CK1403310001","001004","加工费","0.4590*25","25.0000","0.4590","11.4750","元/吨","0.4590","0.4590","2014/3/31 11:35:33","f8184bbf565a4603a8a7326998f39993","1","KH02655","浙江宏厚贸易有限公司","KH02655","浙江宏厚贸易有限公司","HHMY富海3820140118B","44A717CF2D0D4FA79132330D11F11F7E","","0","2014/3/31 11:35:40","100002","2014/3/31 11:35:55","100002","0","014002","现结","0","","","","","","","0","0.00","","","","25.0000","","","0","","0","0","","","","","","","","","","","",""
"10","2b809147c1934e7da5e5578d35e63e59","0101","cc0f0d8c669f4ba6a0a1eb67debd8268","1403310002","83BC621D206F4B5E928639C056966EF4","41103915-01","2","出库","002","出库","CK1403310001","001004","加工费","4.9680*25","25.0000","4.9680","124.2000","元/吨","4.9680","4.9680","2014/3/31 11:35:33","f8184bbf565a4603a8a7326998f39993","1","KH02655","浙江宏厚贸易有限公司","KH02655","浙江宏厚贸易有限公司","HHMY富海3820140118B","83BC621D206F4B5E928639C056966EF4","","0","2014/3/31 11:35:40","100002","2014/3/31 11:35:55","100002","0","014002","现结","0","","","","","","","0","0.00","","","","25.0000","","","0","","0","0","","","","","","","","","","","",""
