"   ","CHECKGOODSDTLID","DEPTID","CHECKNO","GOODSID","CHECKGOODSID","STOCKAREAID","BARCODE","OWNERNAME","OWNERID","PACKNUM","PACKFLAG","PREGOODSLOC","NEWGOODSLOC","MANAGENUM","COLLECTDATE","COLLECTEMPLOYNO","COLLECTEMPLOYNAME","GETNOFLAG","REMARK","DOFLAG","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","CURRENTLISTID","R_RECORD_CHANGE_FLAG","MOVEREMARK","BANKREMARK","GMPACKTYPE","SEG_NO","SHOPSIGNNAME","NETWEIGHT","GROSSWEIGHT","SHEETNUM","DATAFLAG","OFLAG","UFLAG"
"1","1292587A07176C31E0503C0AA30D52CA","0101","","010fcfbb940b4e9fa0a1b2f3d62458b8","PK2015038888","","115236207501","沈阳宝钢东北贸易有限公司","KH05188","1115005784","","JB1422","JB1422","I5K0000086","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","QStE650TM","20.170000","20.170000","1.000000","","",""
"2","1292587A09176C31E0503C0AA30D52CA","0101","","18c6180e0b2049a68c621f23fddf4a36","PK2015038888","","1115005780","沈阳宝钢东北贸易有限公司","KH05188","1115005780","","JC1212","JC1212","I5K0000086","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","QStE650TM","20.190000","20.190000","1.000000","","",""
"3","1292587A0BC76C31E0503C0AA30D52CA","0101","","36f4646e14934b97b1f394d56a6fe782","PK2015038888","","R5060201900","沈阳宝钢东北贸易有限公司","KH05188","R5060201900","","CB1352","CB1352","I5K0000152","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","28.100000","28.100000","1.000000","","",""
"4","1292587A07396C31E0503C0AA30D52CA","0101","","02f541479c014d508aa108581fa36869","PK2015038888","","1232207120871","沈阳宝钢东北贸易有限公司","KH05188","R4270503901","","JB1131","JB1131","I4K0000317","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","Q235B","23.150000","23.150000","1.000000","","",""
"5","1292587A0ED66C31E0503C0AA30D52CA","0101","","582ae51b398e4bd28d6a8b446cb247df","PK2015038888","","R5061301701","沈阳宝钢东北贸易有限公司","KH05188","R5061301701","","CA2613","CA2613","I5K0000105","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHE","14.980000","14.980000","1.000000","","",""
"6","1292587A0B6F6C31E0503C0AA30D52CA","0101","","339e27c103594f94a960f8bc485d7f11","PK2015038888","","1232207114429","沈阳宝钢东北贸易有限公司","KH05188","R4270705101","","IC1462","IC1462","I4K0000317","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","Q235B","23.240000","23.240000","1.000000","","",""
"7","1292587A0BEC6C31E0503C0AA30D52CA","0101","","38c1f63a65f84eb3a316dd33e1f39d2a","PK2015038888","","R5062102700","沈阳宝钢东北贸易有限公司","KH05188","R5062102700","","CC1753","CC1753","I5K0000095","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","15CrMo","27.630000","27.630000","1.000000","","",""
"8","1292587A0EFD6C31E0503C0AA30D52CA","0101","","59a6af56438d4ff1a5763b57405f1e0c","PK2015038888","","115236207801","沈阳宝钢东北贸易有限公司","KH05188","1115005787","","JB1312","JB1312","I5K0000086","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","QStE650TM","20.150000","20.150000","1.000000","","",""
"9","1292587A0F056C31E0503C0AA30D52CA","0101","","5a2de7168af140c58db58f75e85a50ec","PK2015038888","","115236206801","沈阳宝钢东北贸易有限公司","KH05188","1115005776","","JA1212","JA1212","I5K0000086","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","QStE650TM","20.480000","20.480000","1.000000","","",""
"10","1292587A0B126C31E0503C0AA30D52CA","0101","","2fd3bb7021824c22bde2a72696251fab","PK2015038888","","R4270705200","沈阳宝钢东北贸易有限公司","KH05188","R4270705200","","ID1162","ID1162","I4K0000317","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","Q235B","23.260000","23.260000","1.000000","","",""
"11","1292587A0C216C31E0503C0AA30D52CA","0101","","3ac80a83434043d296b75e8eb3399961","PK2015038888","","115236207301","沈阳宝钢东北贸易有限公司","KH05188","1115005782","","JC1211","JC1211","I5K0000086","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","QStE650TM","20.130000","20.130000","1.000000","","",""
"12","1292587A079B6C31E0503C0AA30D52CA","0101","","0822c11f0c8e49d793e08d13892a1b5e","PK2015038888","","R4271703300","沈阳宝钢东北贸易有限公司","KH05188","R4271703300","","CD1311","CD1311","I4K0000341","2015/4/1 13:09:11","100003    ","钱晓平","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","Q235B","23.200000","23.200000","1.000000","","",""
"13","1292587A09936C31E0503C0AA30D52CA","0101","","1eb06556aae34ee88047b59cf9259fd4","PK2015038888","","115236207901","沈阳宝钢东北贸易有限公司","KH05188","1115005786","","JB1522","JB1522","I5K0000086","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","QStE650TM","20.140000","20.140000","1.000000","","",""
"14","1292587A07D36C31E0503C0AA30D52CA","0101","","09f8db646bb0477ea0d2ea38e58d7c2e","PK2015038888","","R5060202000","沈阳宝钢东北贸易有限公司","KH05188","R5060202000","","JD1111","JD1111","I5K0000078","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","28.100000","28.100000","1.000000","","",""
"15","1292587A0CAF6C31E0503C0AA30D52CA","0101","","41231aa1ce564b1e85fd53637b08473a","PK2015038888","","1232207117338","沈阳宝钢东北贸易有限公司","KH05188","R4270603200","","CD1421","CD1421","I4K0000317","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","Q235B","23.240000","23.240000","1.000000","","",""
"16","1292587A0CF86C31E0503C0AA30D52CA","0101","","44a2c1b596b64aa188b0f8184264832d","PK2015038888","","R4269704001","沈阳宝钢东北贸易有限公司","KH05188","R4269704001","","CC1652","CC1652","I4K0000317","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","Q235B","23.080000","23.080000","1.000000","","",""
"17","1292587A0E0E6C31E0503C0AA30D52CA","0101","","5017bdf6725044d7b39b2673ca722601","PK2015038888","","R5028600600","沈阳宝钢东北贸易有限公司","KH05188","R5028600600","","CA2342","CA2342","I5K0000079","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","22.080000","22.080000","1.000000","","",""
"18","1292587A0D6B6C31E0503C0AA30D52CA","0101","","49295ddc7d404b1eb7957a3429e73e24","PK2015038888","","R5037300801","沈阳宝钢东北贸易有限公司","KH05188","R5037300801","","CF2523","CF2523","I5K0000057","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","12Cr1MoV","25.390000","25.390000","1.000000","","",""
"19","1292587A0E3C6C31E0503C0AA30D52CA","0101","","51e78fe974544d5f8736442e0f9acc13","PK2015038888","","1232207138401","沈阳宝钢东北贸易有限公司","KH05188","R5039101300","","CA1553","CA1553","I5K0000100","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","27.090000","27.090000","1.000000","","",""
"20","1292587A09F76C31E0503C0AA30D52CA","0101","","23a3e8f30efb401cbe8cbba757cf761e","PK2015038888","","R5039101100","沈阳宝钢东北贸易有限公司","KH05188","R5039101100","","CC2123","CC2123","I5K0000101","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","27.090000","27.090000","1.000000","","",""
"21","1292587A0D8D6C31E0503C0AA30D52CA","0101","","4a91425510694d658939e713dfec9105","PK2015038888","","R5060203700","沈阳宝钢东北贸易有限公司","KH05188","R5060203700","","IC1112","IC1112","I5K0000078","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","28.160000","28.160000","1.000000","","",""
"22","1292587A0D9A6C31E0503C0AA30D52CA","0101","","4b011da07d5143d7888a8117f3f2d939","PK2015038888","","1232207112845","沈阳宝钢东北贸易有限公司","KH05188","R4270505200","","ID2151","ID2151","I4K0000317","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","Q235B","23.240000","23.240000","1.000000","","",""
"23","1292587A0E846C31E0503C0AA30D52CA","0101","","5474a2b7cb7446f0a1ae06d16860bbae","PK2015038888","","R5025602801","沈阳宝钢东北贸易有限公司","KH05188","R5025602801","","CB1192","CB1192","I5KC000020","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SAPH400","19.080000","19.080000","1.000000","","",""
"24","1292587A0A1B6C31E0503C0AA30D52CA","0101","","25a7a505e52043dc90942fa3b009930a","PK2015038888","","115231605301","沈阳宝钢东北贸易有限公司","KH05188","1115005663","","JA1121","JA1121","I5K0000086","2015/4/1 13:09:36","100003    ","钱晓平","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","QStE650TM","20.260000","20.260000","1.000000","","",""
"25","1292587A0A3F6C31E0503C0AA30D52CA","0101","","271dc5214e9943a38f76913a4758f52a","PK2015038888","","1232207118366","沈阳宝钢东北贸易有限公司","KH05188","R4274202501","","IE1142","","I4K0000341","","","","0","","0","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","Q235B","23.060000","23.060000","1.000000","","",""
"26","1292587A0A4B6C31E0503C0AA30D52CA","0101","","2790eea2475d45b98933b34329fb2eb3","PK2015038888","","1232207127290","沈阳宝钢东北贸易有限公司","KH05188","R5025100352","","JA1622","JA1622","I5KC000020","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SAPH400","17.630000","17.630000","1.000000","","",""
